fewsparameter;2130-EAG-1;2150-EAG-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CL;115.9166667;90.08333333;131;120.1666667;1678.333333;159.3425926;;;;83.13888889;749.4444444;663.7037037;;358.3333333;1088.703704;703.3333333;;450;150.5;250.6666667;193.3333333;112.25;112.5;73.61111111;398.3333333;70;636.6666667;;;218.4166667;249.4027778;223.3333333;191.6171498;154.9166667;182.7777778;162.2222222;208.015873;142.4618736;;81.44444444;68.54166667;242.7777778;126.1111111;61;;54.71666667;24.83333333;46.08333333;105.1111111;76.11111111;143.1111111;;287.2222222;89.66666667;983.8888889;596.6666667;890;115.6666667;773.8888889;838.8888889;717.9166667;764.5833333;547.2727273;312.2777778;116.1111111;;150.8333333;;;;76.93650794;76.08333333;111.6666667;55.72222222;;109.3958333;102.2142857;155;140.5;68.88888889;64.11111111;103.4444444;111.7222222;85.88888889;108.6388889;73.38888889;78.11111111;;137.0833333;113.5833333;31.54166667;75.22222222;476.4814815;105.4285714;90.16666667;70.33333333;85.88888889;100.2777778;126.7222222;59;67;1473.566919;85.66666667;34.36111111;81.16666667;66.25462963;;62.61111111;58.375;58.22222222;;86.05555556;47.59259259;15.49074074;23.66666667;17.72222222;38.11111111;37.77777778;26.94444444;20.83333333;18.05555556;33.33333333;28.16666667;45.75;13.05555556;10.75381264;57.66666667;37.66666667;;;;46.625;37.86111111;51.875;34.08333333;48.47222222;35.66666667;42.33333333;44.16666667;49;42.94444444;43.41666667;17.77777778;19.16666667;37.91666667;16.33333333;22.39015152;14.64285714;;70.33333333;56.16666667;48.25;;63.5;50.83333333;;;;;177.2222222;57.33333333;178.0555556;172.962963;147.2222222;115.5555556;146.6666667;191.6111111;285;210;241.6666667;90;186.1111111;;;;;346.1111111;;88.66666667;55.5;58.72222222;67.09259259;66.66666667;92.72222222;43.57407407;142.4444444;35.86111111;1450;266.8333333;62.5;938.3333333;128;602.9861111;2883.333333;494.1666667;215.2222222;204.4444444;112.8333333;89.21010101;82.33333333;94.5;63.33333333;;75.5;;85.66666667;100.6666667;116.6666667;146.7777778;;110.2222222;;123.1666667;62.95833333;80.33333333;64.38888889;83.42592593;31.33333333;34.69444444;177.25;69.58333333;94.41666667;25.22222222;22.83333333;181.1111111;79;98.94444444;234.8888889;;145.1481481;94;129.1111111;189.4444444;101.1666667;100;116.7222222;118.9922481;118.6062963;120.1111111;62.22222222;90.55555556;99.5;95.5;181.6666667;50.16666667
CLAZN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLOMZNE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLOXRN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CLPRFM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CO-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COUMP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CPYRP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;;;;;;;;;;;;;;;;;0.5;;;;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;;;;
CR-1;0.25;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.25;;;;;;;;;;;;;;;;;;;;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CTLRN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;;;;;;;;;;;;;;;;;0.7;;;;1.4;;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.1;;;;;;;;;;;;;;;;;;;;;
CU-1;1.5;3.2;;;;;;;;;;2.25;;;;;;;;;;;;;;;;;;;;;;;;2.675;;;;;;;;;;;;;;;7.4;;;;;;;;;;;;;;;;;;;;;1.7;;;;1.4625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.7;;;0.991666667;0.883333333;;;;;1.933333333;0.125;;0.641666667;;1.633333333;1.4;;;;;;
CYMTN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CYPDNL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DAZN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DBAHANT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DCBN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DCV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DESC2YTC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.00625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEYTOLAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIEPTE0;;;;;;0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;0;;;;;;0;;0;0;0;0;;;;;;;0;;0;0;;;;;;;0;0;0;;;;;;;0;;;;0;0;0;0;0;0;;;;;0;;;;;0;0;;0;;;;;;0;0;;0;0;;0;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;
DIEPTE1;;;;;;1.730555556;;;;;;1.497222222;;;;;;;;;;;;;;;;;;;;;;;0.888888889;1.602777778;1.179166667;;;;;;;;;;;;;;;;;;;;;;0.468055556;;;;;;;;;;;;;;;;;0.425;;;;;;0.277777778;;0.225;0.216666667;0.227777778;0.166666667;;;;;;;1.861111111;;0.333838384;0.2;;;;;;;0.185;1.280555556;0.235185185;;;;;;;0.484722222;;;;0.356944444;0.393055556;0.363333333;0.196666667;0.193055556;0.402777778;;;;;1.058333333;;;;;0.3;0.297222222;;0.491666667;;;;;;0.197222222;2.291666667;;0.230555556;0.158333333;;0.2125;;;;;0.566666667;;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;0.261111111;0.291666667;;0.330555556;;;;;;;;;;0.793055556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.422649573;;;;;;;;
DIEPTE2;;;;;;3.461111111;;;;;;2.994444444;;;;;;;;;;;;;;;;;;;;;;;1.777777778;3.205555556;2.372222222;;;;;;;;;;;;;;;;;;;;;;0.936111111;;;;;;;;;;;;;;;;;0.85;;;;;;0.555555556;;0.45;0.433333333;0.455555556;0.333333333;;;;;;;3.722222222;;0.656565657;0.4;;;;;;;0.37;2.561111111;0.47037037;;;;;;;0.969444444;;;;0.713888889;0.786111111;0.726388889;0.386666667;0.386111111;0.801388889;;;;;2.116666667;;;;;0.6;0.594444444;;0.983333333;;;;;;0.394444444;4.541666667;;0.477777778;0.3125;;0.425;;;;;1.133333333;;3;;;;;;;;;;;;;;;;;;;;;;;;;;0.522222222;0.583333333;;0.661111111;;;;;;;;;;1.586111111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.845299145;;;;;;;;
DIEPTE3;;;;;;5.191666667;;;;;;4.491666667;;;;;;;;;;;;;;;;;;;;;;;2.666666667;4.813888889;3.551388889;;;;;;;;;;;;;;;;;;;;;;1.404166667;;;;;;;;;;;;;;;;;1.275;;;;;;0.833333333;;0.675;0.65;0.683333333;0.5;;;;;;;5.583333333;;0.984848485;0.6;;;;;;;0.560555556;4.008333333;0.705555556;;;;;;;1.454166667;;;;1.072222222;1.175;1.097222222;0.576666667;0.579166667;1.205555556;;;;;3.175;;;;;0.9;0.891666667;;1.475;;;;;;0.591666667;6.791666667;;0.725;0.458333333;;0.6375;;;;;1.7;;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;0.783333333;0.875;;0.991666667;;;;;;;;;;2.393055556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4.267948718;;;;;;;;
DIEPTE4;;;;;;6.922222222;;;;;;5.988888889;;;;;;;;;;;;;;;;;;;;;;;3.555555556;6.444444444;4.744444444;;;;;;;;;;;;;;;;;;;;;;1.872222222;;;;;;;;;;;;;;;;;1.7;;;;;;1.111111111;;0.9;0.866666667;0.911111111;0.666666667;;;;;;;7.444444444;;1.313131313;0.8;;;;;;;0.745555556;5.455555556;0.940740741;;;;;;;1.938888889;;;;1.427777778;1.566666667;1.466666667;0.766666667;0.772222222;1.609722222;;;;;4.233333333;;;;;1.2;1.188888889;;1.966666667;;;;;;0.788888889;9.083333333;;0.955555556;0.6;;0.85;;;;;2.266666667;;6;;;;;;;;;;;;;;;;;;;;;;;;;;1.044444444;1.166666667;;1.322222222;;;;;;;;;;3.227777778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.690598291;;;;;;;;
DINOSEB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DINOTERB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DIURN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DMTAT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DMTMF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dmtn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DNOC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DOC;13;15;;;;;;;;;31;11;;;;;;;;;;;;;;;38.5;;;;;;;;;10;;;;;;;;;;;;;;;22;;;;16.5;;;;;;;;;;14;;23.5;;;;;25;;;;5.952380952;;;13.5;;;;;;;;;;;;;;;;;;;;;;;7.5;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;7;;;;;;;;;;;;;;;;;17;;;;4;;6.75;;;;;;;;13;;;;;;;;;;;;;;;;;;;5.5;;;;;;;;;8;;;;;;;;;;12;17;;;;;;;;;;
dodmf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DSEYATR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DSMTNE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EFUMST;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENCOCCAE;;;;;;50.6068219;;93.2962963;;;;184.1481481;;;;;;;;;;;;;;;;;;;;;51.25;;;;31.55495169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;91.21031746;;;;;;;;;;;;;;;;;;18.89930556;;;;;;;;;;;222.0659722;;;;;;;;52.2771836;;;;;23.83712121;;;;43.16919192;;;;;;;;;;;;;;28.56818182;;;;;;135.1971726;;;;;71.66666667;;;;;13.81944444;;;;;;;;68.95833333;;155.3125;1110.034722;51.45833333;88.88888889;160.4166667;;31.25;;;;;;;;;;;;;;;;;35.10416667;;210;260.235119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.875;;;;132.7083333;;;;;;;;;;;;63.92973856;157.6041667;;;;;;;
EPXCNZL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESCHCOLI;;;;;;532.3995098;;233.4398148;;;;552.5925926;;;;;;;;;;;;;;;;;;;;;463.3333333;;;;98.41183575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1589.573357;;;;;;;;;;;;;;;;;;46.09722222;;;;;;;;;;;127.0659722;;;;;;;;200.3353387;;;;;114.8257576;;;;155.3535354;;;;;;;;;;;;;;72.31818182;;;;;;413.8566468;;;;;1625;;;;;70.76388889;;;;;;;;167.2222222;;1596.666667;1899.791667;75.93253968;232.2222222;241.1111111;;46.97916667;;;;;;;;;;;;;;;;;119.4791667;;6250;3370.111111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45;;;;155.7638889;;;;;;;;;;;;235.0081699;378.5416667;;;;;;;
esfvlrt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETDAZL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ETPP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
