gebied;gebiednaam;gebiednaamkort;toetsgebied;KRWWaterlichaamcode;KRWmonitoringslocatie;KRWWatertypeToetsing;KRWWatertypeWBP;KRWWatertypeVoorstel;KRWWatertypeAlternatiefA;KRWWatertypeAlternatiefB;Opmerking1;Opmerking2;OppervlakLandWater;OmtrekWater;OppervlakWater;OppmerkingOpp
2140-EAG-5;Uithoornsche Polder, Natuurgebied Uithoorn;Uithoorn;OvWa_2140-EAG-5_Uithoorn;NVT;NVT;M10;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;221270;9364;58955;
2140-EAG-6;Uithoornsche Polder, De Kwakel;Uithoorn;OvWa_2140-EAG-6_Uithoorn;NVT;NVT;M10;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2013566;84004;369227;
2140-EAG-4;Uithoornsche Polder, Bebouwing Uithoorn-Zuid;Uithoorn;OvWa_2140-EAG-4_Uithoorn;NVT;NVT;M10;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2146839;81946;378562;
3201-EAG-3;Stichtsch Ankeveensche Polder, Stichtsch Ankeveensche Polder oost;Stichtsc;OvWa_3201-EAG-3_Stichtsc;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2371144;88794;195184;
7060-EAG-1;Steigereiland, Steigereiland;Steigere;OvWa_7060-EAG-1_Steigere;NVT;NVT;;M1a;M3;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;392005;1486;75690;
6040-EAG-1;Sportpark Tuindorp Oostzaan, Sportpark Tuindorp Oostzaan;Sportpar;OvWa_6040-EAG-1_Sportpar;NVT;NVT;M6b;;M8;;;;Overgenomen van GAF 6040;84203;2076;4989;
3080-EAG-1;Sportcombinatie Muiden, Sportcombinatie Muiden;Sportcom;OvWa_3080-EAG-1_Sportcom;NVT;NVT;;;;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;23847;608;1026;
3200-EAG-2;Spiegelpolder, Spiegelweg;Spiegelp;OvWa_3200-EAG-2_Spiegelp;NVT;NVT;M1a;M1a;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;586541;21548;32770;
1050-EAG-1;SP Zuid, SP Zuid;SP Zuid,;OvWa_1050-EAG-1_SP Zuid,;NVT;NVT;;;M3;;;niet meegenomen in analyse watertypen, schatting;KRWWaterTypes en Opmerking1 overgenomen uit 2016;34603;413;580;
8070-EAG-3;Sloterbinnen en Middelveldsepolder, SPP Ookmeer;Sloterbi;OvWa_8070-EAG-3_Sloterbi;NVT;NVT;M10;M10;M3;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;661519;12112;34443;
8070-EAG-2;Sloterbinnen en Middelveldsepolder, Gecombineerde Polders;Sloterbi;OvWa_8070-EAG-2_Sloterbi;NVT;NVT;M10;M10;M3;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;12608386;87996;753767;
4250-EAG-1;'s-Gravelandsche Polder, 's-Gravelandsche Polder;'s-Grave;OvWa_4250-EAG-1_'s-Grave;NVT;NVT;M10;M1a;M3;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;8479795;109428;473074;
2030-EAG-1;Sarphatipark, Sarphatipark;Sarphati;OvWa_2030-EAG-1_Sarphati;NVT;NVT;M1a;M1a;M11;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;54975;753;5609;
6590-EAG-1;Rijnkade, Rijnkade;Rijnkade;OvWa_6590-EAG-1_Rijnkade;NVT;NVT;;;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;624710;5669;13376;
8080-EAG-1;Riekerpolder, Wielerbaan;Riekerpo;OvWa_8080-EAG-1_Riekerpo;NVT;NVT;M10;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;376598;7943;21427;
8080-EAG-2;Riekerpolder, polder;Riekerpo;OvWa_8080-EAG-2_Riekerpo;NVT;NVT;M10;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;3024931;72477;238213;
2600-EAG-2;Polder Zevenhoven, Oude Nieuwveenseweg;Polder Z;OvWa_2600-EAG-2_Polder Z;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 2600;680257;19054;35668;
2600-EAG-5;Polder Zevenhoven, Odesssa_Driesprong_De Jonker;Polder Z;OvWa_2600-EAG-5_Polder Z;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 2600;2309828;44296;79193;
2600-EAG-3;Polder Zevenhoven, Nieuw Amstel;Polder Z;OvWa_2600-EAG-3_Polder Z;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 2600;2316873;54245;165976;
2600-EAG-8;Polder Zevenhoven, Kousmolentocht/Jonge Zevenhovenseweg;Polder Z;OvWa_2600-EAG-8_Polder Z;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 2600;3656295;119888;235111;
2600-EAG-9;Polder Zevenhoven, Groene Jonker;Polder Z;OvWa_2600-EAG-9_Polder Z;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 2600;1164749;19983;813330;
2600-EAG-4;Polder Zevenhoven, Bloklandseweg;Polder Z;OvWa_2600-EAG-4_Polder Z;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 2600;1180205;16646;33148;
2600-EAG-1;Polder Zevenhoven, bemalen gebied;Polder Z;OvWa_2600-EAG-1_Polder Z;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 2600;3684880;145765;358341;
2600-EAG-6;Polder Zevenhoven, Achterweg_Zeerust;Polder Z;OvWa_2600-EAG-6_Polder Z;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 2600;2499677;23052;36218;
2503-EAG-1;Polder Wilnis-Veldzijde, Polder Wilnis-Veldzijde;Polder W;OvWa_2503-EAG-1_Polder W;NVT;NVT;M8;M1a;M1a;M1b;M8;;Overgenomen van GAF 2503;5707776;164602;313436;
2410-EAG-3;Polder Waardassacker en Holendrecht, stedelijkgebied (zuid);Polder W;OvWa_2410-EAG-3_Polder W;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF 2410;1666976;50582;130040;
2410-EAG-2;Polder Waardassacker en Holendrecht, stedelijkgebied (noord);Polder W;OvWa_2410-EAG-2_Polder W;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF 2410;983329;24498;70573;
2410-EAG-4;Polder Waardassacker en Holendrecht, Slot polder;Polder W;OvWa_2410-EAG-4_Polder W;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF 2410;178556;5513;13152;
2410-EAG-1;Polder Waardassacker en Holendrecht, Holendrechter polder;Polder W;OvWa_2410-EAG-1_Polder W;NVT;NVT;M8;M8;M8;;;;Overgenomen van GAF 2410;3204731;109553;232315;
2501-EAG-2;Polder Oukoop en Polder Groot Wilnis-Vinkeveen (oost), Polder Demmerik;Polder O;OvWa_2501-EAG-2_Polder O;NVT;NVT;M8;M1a;M8;M8;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;5987227;244129;699670;
2501-EAG-1;Polder Oukoop en Polder Groot Wilnis-Vinkeveen (oost), Oukoop;Polder O;OvWa_2501-EAG-1_Polder O;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;3707120;136023;382583;
6550-EAG-1;Polder Nijenrode, landelijk gebied;Polder N;OvWa_6550-EAG-1_Polder N;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 6550;2079381;69775;104862;
6550-EAG-2;Polder Nijenrode, Kasteel Neijenrode en sportvelden;Polder N;OvWa_6550-EAG-2_Polder N;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 6550;634849;18979;69026;
6550-EAG-3;Polder Nijenrode, bebouwing;Polder N;OvWa_6550-EAG-3_Polder N;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 6550;385678;6897;16793;
3340-EAG-3;Polder Mijnden, Staatbosbeheer;Polder M;OvWa_3340-EAG-3_Polder M;NVT;NVT;M1a;M1a;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;202693;7084;14271;
3340-EAG-1;Polder Mijnden, Polder Mijnden west;Polder M;OvWa_3340-EAG-1_Polder M;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2128122;85334;170168;
3340-EAG-2;Polder Mijnden, Polder Mijnden oost;Polder M;OvWa_3340-EAG-2_Polder M;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;757809;37716;62427;
3360-EAG-3;Polder Maarsseveen-Westbroek, Zogwetering;Polder M;OvWa_3360-EAG-3_Polder M;NVT;NVT;M1a;M1a;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2128403;33039;98882;
3360-EAG-4;Polder Maarsseveen-Westbroek, Wilgenplas;Polder M;OvWa_3360-EAG-4_Polder M;NVT;NVT;M27;M27;M25;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1327202;55288;362166;
3360-EAG-7;Polder Maarsseveen-Westbroek, Volkstuinen;Polder M;OvWa_3360-EAG-7_Polder M;NVT;NVT;;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;280771;5633;13072;
3360-EAG-15;Polder Maarsseveen-Westbroek, Taartpunt;Polder M;OvWa_3360-EAG-15_Polder M;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1744397;78880;150332;
3360-EAG-5;Polder Maarsseveen-Westbroek, rond Kleine Maarsseveensche Plas;Polder M;OvWa_3360-EAG-5_Polder M;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;804852;29501;89021;
3360-EAG-18;Polder Maarsseveen-Westbroek, Polder het Huis te Hart;Polder M;OvWa_3360-EAG-18_Polder M;NVT;NVT;M8;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;962543;47278;129973;
3360-EAG-2;Polder Maarsseveen-Westbroek, Polder Buitenweg;Polder M;OvWa_3360-EAG-2_Polder M;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1264903;57472;149772;
3360-EAG-8;Polder Maarsseveen-Westbroek, Oud tuinbouwgebied;Polder M;OvWa_3360-EAG-8_Polder M;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;143129;5433;5937;
3360-EAG-9;Polder Maarsseveen-Westbroek, Kleine Maarsseveensche Plas;Polder M;OvWa_3360-EAG-9_Polder M;NVT;NVT;M20;M20;M20;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;200940;2264;200406;
3360-EAG-6;Polder Maarsseveen-Westbroek, Kassen;Polder M;OvWa_3360-EAG-6_Polder M;NVT;NVT;;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;327439;5296;9667;
3360-EAG-1;Polder Maarsseveen-Westbroek, Agrarisch Molenpolder;Polder M;OvWa_3360-EAG-1_Polder M;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;3408582;153171;276837;
3230-EAG-4;Polder Kortenhoef, Kortenhoef;Polder K;OvWa_3230-EAG-4_Polder K;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2799562;89476;232198;
2340-EAG-2;Polder Holland en Sticht west, Loendersloot;Polder H;OvWa_2340-EAG-2_Polder H;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 2340;392660;11628;16652;
2340-EAG-1;Polder Holland en Sticht west, bemalen;Polder H;OvWa_2340-EAG-1_Polder H;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 2340;1863705;59551;86873;
2502-EAG-2;Polder Groot Wilnis-Vinkeveen (midden), west;Polder G;OvWa_2502-EAG-2_Polder G;NVT;NVT;M8;M8;M10;M10;;;Overgenomen van GAF 2502;293984;14940;43172;
2502-EAG-1;Polder Groot Wilnis-Vinkeveen (midden), oost;Polder G;OvWa_2502-EAG-1_Polder G;NVT;NVT;M8;M8;M10;M10;;;Overgenomen van GAF 2502;2747269;106424;366427;
2500-EAG-1;Polder Groot Wilnis Vinkeveen, Overig;Polder G;OvWa_2500-EAG-1_Polder G;NVT;NVT;M10;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;4472963;207591;1213361;oppervlaktes en omtrek gesommeerd want oppervlak en omtrek kwam in 2 delen uit GIStool
2540-EAG-5;Polder Groot Mijdrecht en Polder de Eerste Bedijking (oost), Veldweg;Polder G;OvWa_2540-EAG-5_Polder G;NVT;NVT;M8;M1a;M1a;M1b;M8 ;;Overgenomen van GAF 2540;574399;25628;63515;
2540-EAG-4;Polder Groot Mijdrecht en Polder de Eerste Bedijking (oost), stedelijk;Polder G;OvWa_2540-EAG-4_Polder G;NVT;NVT;M8;M1a;M1a;M1b;M8 ;;Overgenomen van GAF 2540;4097440;98616;241751;oppervlaktes en omtrek gesommeerd want oppervlak en omtrek kwam in 2 delen uit GIStool
2540-EAG-2;Polder Groot Mijdrecht en Polder de Eerste Bedijking (oost), natuurreservaat;Polder G;OvWa_2540-EAG-2_Polder G;NVT;NVT;M8;M1a;M1a;M1b;M8 ;;Overgenomen van GAF 2540;511175;13069;277534;
2540-EAG-1;Polder Groot Mijdrecht en Polder de Eerste Bedijking (oost), landelijk;Polder G;OvWa_2540-EAG-1_Polder G;NVT;NVT;M8;M1a;M1a;M1b;M8 ;;Overgenomen van GAF 2540;14978879;638150;952574;
2540-EAG-3;Polder Groot Mijdrecht en Polder de Eerste Bedijking (oost), Botshol West;Polder G;OvWa_2540-EAG-3_Polder G;NVT;NVT;M8;M1a;M1a;M1b;M8 ;;Overgenomen van GAF 2540;106124;4376;7494;
3240-EAG-1;Polder Dorssewaard, Polder Dorssewaard;Polder D;OvWa_3240-EAG-1_Polder D;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1293695;38946;75030;
2504-EAG-1;Polder deTweede Bedijking, Polder deTweede Bedijking;Polder d;OvWa_2504-EAG-1_Polder d;NVT;NVT;M8;M1a;M1a;M1a;;;Overgenomen van GAF 2504;1787202;80406;148527;
2290-EAG-1;Polder De Toekomst, Polder De Toekomst;Polder D;OvWa_2290-EAG-1_Polder D;NVT;NVT;M8;M8;M8;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;993726;15672;56620;
2400-EAG-6;Polder de Rondehoep,Ouderkerk aan de Amstel;Polder d;OvWa_2400-EAG-6_Polder d;NVT;NVT;M8;M8;M8;M1b;;;Overgenomen van GAF 2400;720604;17079;46718;
2400-EAG-2;Polder de Rondehoep, zuid-west;Polder d;OvWa_2400-EAG-2_Polder d;NVT;NVT;M8;M8;M8;M1b;;;Overgenomen van GAF 2400;3336778;136191;240339;
2400-EAG-5;Polder de Rondehoep, weidevogel gebied;Polder d;OvWa_2400-EAG-5_Polder d;NVT;NVT;M8;M8;M8;M1b;;;Overgenomen van GAF 2400;1424994;50401;167914;
2400-EAG-3;Polder de Rondehoep, noord-west;Polder d;OvWa_2400-EAG-3_Polder d;NVT;NVT;M8;M8;M8;M1b;;;Overgenomen van GAF 2400;1824656;69217;117990;
2400-EAG-4;Polder de Rondehoep, noord-oost;Polder d;OvWa_2400-EAG-4_Polder d;NVT;NVT;M8;M8;M8;M1b;;;Overgenomen van GAF 2400;2303369;78900;133936;
2400-EAG-1;Polder de Rondehoep, bemalen gebied;Polder d;OvWa_2400-EAG-1_Polder d;NVT;NVT;M8;M8;M8;M1b;;;Overgenomen van GAF 2400;3081183;113894;192480;
2250-EAG-3;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Ouderkerk aan de Amstel;Polder d;OvWa_2250-EAG-3_Polder d;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;953418;17879;59048;
2250-EAG-6;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, nabij recreatiegebied;Polder d;OvWa_2250-EAG-6_Polder d;NVT;NVT;M8;M8;M30;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;217768;14722;21399;
2250-EAG-2;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Korte Dwarsweg;Polder d;OvWa_2250-EAG-2_Polder d;NVT;NVT;M8;M8;M30;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;518734;15360;28327;
2250-EAG-5;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, golfterrein;Polder d;OvWa_2250-EAG-5_Polder d;NVT;NVT;M8;M8;M30;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;699064;23934;111497;
2250-EAG-7;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Bullewijker Polder noord;Polder d;OvWa_2250-EAG-7_Polder d;NVT;NVT;M8;M8;M30;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1097876;41003;99130;
2250-EAG-4;Polder de Nieuwe Bullewijk en Holendrechter- en Bullewijker Polder noord, Bullewijk en AMC;Polder d;OvWa_2250-EAG-4_Polder d;NVT;NVT;M8;M8;M30;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;4532349;48928;323453;
2530-EAG-1;Polder de Eerste Bedijking (west), west;Polder d;OvWa_2530-EAG-1_Polder d;NVT;NVT;M8;M1a;M1a;M1b;M8;;Overgenomen van GAF 2540;5618720;273427;462601;
2530-EAG-2;Polder de Eerste Bedijking (west), oost;Polder d;OvWa_2530-EAG-2_Polder d;NVT;NVT;M8;M1a;M1a;M1b;M8;;Overgenomen van GAF 2540;3302053;129399;227927;
2520-EAG-2;Polder de Derde Bedijking, stedelijk;Polder d;OvWa_2520-EAG-2_Polder d;NVT;NVT;M8;M1a;M8;M8;;;Overgenomen van GAF 2520;1708535;29528;103604;
2520-EAG-3;Polder de Derde Bedijking, natuur;Polder d;OvWa_2520-EAG-3_Polder d;NVT;NVT;M8;M1a;M8;M8;;;Overgenomen van GAF 2520;188227;8471;25479;
2520-EAG-1;Polder de Derde Bedijking, landelijk;Polder d;OvWa_2520-EAG-1_Polder d;NVT;NVT;M8;M1a;M8;M8;;;Overgenomen van GAF 2520;5305378;207890;381571;
2520-EAG-4;Polder de Derde Bedijking, kassen;Polder d;OvWa_2520-EAG-4_Polder d;NVT;NVT;M8;M1a;M8;M8;;;Overgenomen van GAF 2520;448504;19969;32109;
6570-EAG-1;Polder Broeckland, Polder Broeckland;Polder B;OvWa_6570-EAG-1_Polder B;NVT;NVT;;;M8;;;niet meegenomen in analyse watertypen, schatting;Overgenomen van GAF 6570;;;;
6440-EAG-1;Polder Breukelerwaard West, bemalen gebied;Polder B;OvWa_6440-EAG-1_Polder B;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 6440;1232475;29444;49284;
6440-EAG-2;Polder Breukelerwaard West,;Polder B;OvWa_6440-EAG-2_Polder B;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 6440;292166;10634;26857;
6440-EAG-3;Polder Breukelerwaard West,;Polder B;OvWa_6440-EAG-3_Polder B;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 6440;280693;7702;8001;
6440-EAG-4;Polder Breukelerwaard West,;Polder B;OvWa_6440-EAG-4_Polder B;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 6440;339804;7518;23727;
6440-EAG-5;Polder Breukelerwaard West,;Polder B;OvWa_6440-EAG-5_Polder B;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 6440;193571;3399;15043;
3350-EAG-2;Polder Breukelen-Proostdij, Beringde landen;Polder B;OvWa_3350-EAG-2_Polder B;NVT;NVT;M1a;M1a;M8;;;;Overgenomen van GAF 3350;680693;29584;51909;
3350-EAG-1;Polder Breukelen-Proostdij, bemalen gebied;Polder B;OvWa_3350-EAG-1_Polder B;NVT;NVT;M1a;M1a;M8;;;;Overgenomen van GAF 3350;2919517;111638;183272;
6080-EAG-1;Polder Bernard, Polder Polder Bernard;Polder B;OvWa_6080-EAG-1_Polder B;NVT;NVT;M1a;M1a;M1a;;;;Overgenomen van GAF 6080;25509;723;885;
3370-EAG-3;Polder Achtienhoven, Kerkeindse Polder;Polder A;OvWa_3370-EAG-3_Polder A;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;2462597;129621;226501;
3370-EAG-1;Polder Achtienhoven, Gagelweg/Kooidijk;Polder A;OvWa_3370-EAG-1_Polder A;NVT;NVT;M8;M8;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;4052530;206536;403113;
3370-EAG-2;Polder Achtienhoven, Gagelbos;Polder A;OvWa_3370-EAG-2_Polder A;NVT;NVT;M8;M1a;M3;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;582636;24925;91488;
3370-EAG-5;Polder Achtienhoven,  Korssesteeg;Polder A;OvWa_3370-EAG-5_Polder A;NVT;NVT;;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;224924;10230;12851;
3370-EAG-4;Polder Achtienhoven,  Het Achteraf;Polder A;OvWa_3370-EAG-4_Polder A;NVT;NVT;M1a;M1a;M1a;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;3432106;156134;216014;
2300-EAG-1;Overdiemerpolder, Overdiemerpolder;Overdiem;OvWa_2300-EAG-1_Overdiem;NVT;NVT;M8;M8;M8;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;989176;30193;115281;
6500-EAG-1;Over-Diemen, elektriciteitscentrale;Over-Die;OvWa_6500-EAG-1_Over-Die;NVT;NVT;;;;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;481097;13591;26274;
6510-EAG-1;Over-Diemen (Zeehoeve), Zeehoeve;Over-Die;OvWa_6510-EAG-1_Over-Die;NVT;NVT;;;;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;199831;6588;20965;
6560-EAG-1;Over-Diemen (noord), Over-Diemen (noord);Over-Die;OvWa_6560-EAG-1_Over-Die;NVT;NVT;;;;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;33326;622;831;
8020-EAG-1;Overbraker Binnenpolder, volkstuinen;Overbrak;OvWa_8020-EAG-1_Overbrak;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;874866;28157;66336;
8020-EAG-2;Overbraker Binnenpolder, noord-oost;Overbrak;OvWa_8020-EAG-2_Overbrak;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;117903;5248;16676;
8040-EAG-1;Osdorperbovenpolder, Osdorperbovenpolder;Osdorper;OvWa_8040-EAG-1_Osdorper;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1536762;64241;121491;
8040-EAG-2;Osdorperbovenpolder, Bovensloot;Osdorper;OvWa_8040-EAG-2_Osdorper;NVT;NVT;M8;M8;M8;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;56364;4976;8387;
8030-EAG-4;Osdorperbinnenpolder, VTP Tigeno en Eendracht;Osdorper;OvWa_8030-EAG-4_Osdorper;NVT;NVT;M10;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;262003;13628;40455;
8030-EAG-1;Osdorperbinnenpolder, veenweide;Osdorper;OvWa_8030-EAG-1_Osdorper;NVT;NVT;M10;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1189002;50880;172848;
8030-EAG-6;Osdorperbinnenpolder, Tom Schreurweg;Osdorper;OvWa_8030-EAG-6_Osdorper;NVT;NVT;M10;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;37624;3172;7552;
8030-EAG-5;Osdorperbinnenpolder, polder;Osdorper;OvWa_8030-EAG-5_Osdorper;NVT;NVT;M10;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;1349881;40292;135045;
8030-EAG-2;Osdorperbinnenpolder, Geuzenveld;Osdorper;OvWa_8030-EAG-2_Osdorper;NVT;NVT;M10;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;297494;4827;18675;
8030-EAG-3;Osdorperbinnenpolder,  De Kluut 2;Osdorper;OvWa_8030-EAG-3_Osdorper;NVT;NVT;M10;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;170306;5981;82076;
2040-EAG-1;Oosterpark, Oosterpark;Oosterpa;OvWa_2040-EAG-1_Oosterpa;NVT;NVT;M1a;M1a;M11;M1b;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;129700;1289;14753;
6000-EAG-1;Noordzeekanaal/IJ/Amsterdamrijnkanaalboezem, afstromend naar boezem;Noordzee;OvWa_6000-EAG-1_Noordzee;NVT;NVT;;;M30 ;;;niet meegenomen in analyse watertypen, schatting;KRWWaterTypes en Opmerking1 overgenomen uit 2016;31826255;253390;1288202;
2630-EAG-3;Noordse Buurt en Westveense Polder, Westveen;Noordse ;OvWa_2630-EAG-3_Noordse ;NVT;NVT;M10;M10;M8;;;;Overgenomen van GAF 2630;1211014;66534;341817;
2630-EAG-2;Noordse Buurt en Westveense Polder, Noordse dorp;Noordse ;OvWa_2630-EAG-2_Noordse ;NVT;NVT;M10;M10;M8;;;;Overgenomen van GAF 2630;622403;18130;37621;
2630-EAG-1;Noordse Buurt en Westveense Polder, Noordse buurt;Noordse ;OvWa_2630-EAG-1_Noordse ;NVT;NVT;M10;M10;M8;;;;Overgenomen van GAF 2630;2063388;61481;128321;
4100-EAG-2;Noordpolder beoosten Muiden, noord;Noordpol;OvWa_4100-EAG-2_Noordpol;NVT;NVT;M8;M1a;M8;;;;Overgenomen van GAF 4100;254936;4158;4690;
4100-EAG-1;Noordpolder beoosten Muiden, bemalen;Noordpol;OvWa_4100-EAG-1_Noordpol;NVT;NVT;M8;M1a;M8;;;;Overgenomen van GAF 4100;3469100;56625;76794;
2550-EAG-5;Noorderpolder of Botshol (zuid en west), Noorderpolder (west);Noorderp;OvWa_2550-EAG-5_Noorderp;NVT;NVT;M8;M8;M1a;;;;Overgenomen van gelijkende EAG's in eromheen (2560, 2540);615737;22919;47133;
2550-EAG-4;Noorderpolder of Botshol (zuid en west), Noorderpolder (oost);Noorderp;OvWa_2550-EAG-4_Noorderp;NVT;NVT;M8;M8;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;650583;24712;110103;
2560-EAG-2;Noorderpolder of Botshol (Nellestein), natuurgebied;Noorderp;OvWa_2560-EAG-2_Noorderp;NVT;NVT;M8;M8;M1a;;;;Overgenomen van GAF 2560;519262;23359;63333;
2560-EAG-1;Noorderpolder of Botshol (Nellestein), agrarisch;Noorderp;OvWa_2560-EAG-1_Noorderp;NVT;NVT;M8;M8;M1a;;;;Overgenomen van GAF 2560;527081;22573;43052;
3010-EAG-1;Noorder- of Rietpolder (zuid), Noorder- of Rietpolder (zuid) (De Krijgsman);Noorder-;OvWa_3010-EAG-1_Noorder-;NVT;NVT;;;;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;37345;1666;2826;
3020-EAG-1;Noorder- of Rietpolder (De Krijgsman), landelijk;Noorder-;OvWa_3020-EAG-1_Noorder-;NVT;NVT;;M1a;M10;;;;KRWWaterTypes en Opmerking1 overgenomen uit 2016;502293;21154;81812;
