ident;DBID;Namespace;LokaalID;Naam;Type maatregel voor doelen-model;Opmerkingen GtH;SGBPPeriode.omschrijving;UitvoeringIn;KRWMaatregel.code;Toelichting;KRWMaatregelNiveau.code;HoortbijKRWWaterlichaam2021;HoortbijKRWWaterlichaam;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.naam;Kosten;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;esf;afweging;gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);Bestuur AGV;Bestuur andere overheid;kosten;totale belasting;oeverlengte;% beschoeid;% bebost;% overig ongeschikt;Ganzen beheren;Natuurvriendelijk onderhouden;belastingreductie opmerking;hulpkolom (km);hulpkolom;omvang tov balansen 2018, ecologische toestand t/m 2017;eenheid;EKR;litteratuurverwijzing;wkp;WL_naam;Effect verwacht vanaf;aangepast;gebiedsteam;;;
136;71313;NL11;90999;Uitvoeren herstelmaatregelen Ouderkerkerplas;P-belasting verlagen;;SGBP1 2009-2015;2009-2015;IN14;Het gaat om het uitvoeren van de volgende waterbeheermaatregelen:- Het optimaliseren van de inlaat vanuit Bullewijk naar de plas- Het toestaan van peilfluctuatie in de plas met als doel het begroeibaar areaal voor waterplanten te vergroten;WB;NL11_3_3;NL11_3_3;2;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=73000.00|Beheer en Onderhoud per planperiode=0.00;0;0;2;0;0;0;ESF4;uitgevoerd;Gemeente Amsterdam, Groengebied Amstelland;;;;0.350153348;12;0;1;0;ja;nee;0;;;0.0976;mg/m2/dag;;;1;Ouderkerkerplas;2016;LM_20190916;Amsterdam;;;
137;71387;NL11;NL11_0179;"Onderzoeken ""Waarom het is, zoals het is?"" in Ouderkerkerplas";Onderzoek;;SGBP1 2009-2015;2009-2015;S01;Het uitvoeren van een watersysteemanalyse met als onderzoeksvragen:- Mogelijkheden voor ontwikkeling water- en oeverplanten- Onderzoeken effecten vogelstand- Onderzoeken mogelijkheden aanpak drijfalgen door herinrichting zwemwaterlocatie;WB;NL11_3_3;NL11_3_3;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=60000.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF1;opzoeken;geen;;;;0.350153348;12;0;1;0;ja;nee;;;;0;nvt;;;1;Ouderkerkerplas;2016;LM_20190916;Amsterdam;;;
138;71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;Natuurvriendelijk onderhouden EMERS;;SGBP1 2009-2015;2009-2015;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_3_3;NL11_3_3;30;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;0;0;325;0;0;0;ESF4;uitgevoerd;geen;;;;;12;0;1;0;ja;nee;;;;0;1/0;;;1;Ouderkerkerplas;2016;LM_20190916;Amsterdam;;;
143;71395;;;Vispasseerbaar maken sluizen, gemalen en stuwen - fase 1;Vis;;SGBP1 2009-2015;2009-2015;;?;;NL11_3_3;NL11_3_3;;;;Waterschap Amstel Gooi en Vecht;;0;0;1;0;0;0;ESF5;uitgevoerd;Groengebied Amstelland;;;;;12;0;1;0;ja;nee;;;;0;nvt;;;1;Ouderkerkerplas;nvt;LM_20191017;Amsterdam;;;
139;76513;NL11;90999;Uitvoeren herstelmaatregelen Ouderkerkerplas;P-belasting verlagen;;SGBP2 2015-2021;2015-2021;IN14;Het gaat om het verder uitvoeren van de waterbeheermaatregelen (peilbeheer) om de inlaat naar de plas te optimaliseren en daarmee de belasting te verminderen.Het is de voortzetting van de maatregel uit de planperiode van SGBP-1.;WB;NL11_3_3;NL11_3_3;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF1;opzoeken;Gemeente Amsterdam, Groengebied Amstelland;;;;0.350153348;12;0;1;0;ja;nee;0;;;0.0976;mg/m2/dag;;;1;Ouderkerkerplas;2018;LM_20190916;Amsterdam;;;
140;;;;Zuurstoftoedienen bij waterbodem Ouderkerkerplas;P-belasting verlagen;;SGBP2 2015-2021;2015-2021;IM12;Hoe vaak vindt er evaluatie plaats? Wie organiseerdt dit?;WB;NL11_3_3;NL11_3_3;1;n;?;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF1;uitgevoerd;NUON;vastgesteld;;;0.350153348;12;0;1;0;ja;nee;0;;;?;mg/m2/dag;;;0;Ouderkerkerplas;2018;LM_20190916;Amsterdam;;;
141;;;;Het verhogen van flexpeil met 20 cm (maxpeil 20 cm verhogen). ;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;IN14;Hoe hoger het winterpeil, des de minder kwel en inlaatbehoefte later in het jaar. Fundering is geen probleem. Verhogen waterpeil iig max peil weer terug naar -3.80 of liever 3.70. Nu is het peil -4.30 tot -3.90. De waakhoogte en stabiliteit van de dijklichamen moeten onderzocht worden. Veiligheid keringen ligt bij dijkenteam en resultaten komen optijd om deze maateregel op te nemen in SGBP3.;WB;NL11_3_3;NL11_3_3;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;0;0;0;ESF1;initiëren;Gemeente Amsterdam, Groengebied Amstelland;SGBP3;;;0.350153348;12;0;1;0;ja;nee;een kwart van de kwel vermindert door deze maatregel;;;0.019611487;mg/m2/dag;;;0;Ouderkerkerplas;2027;LM_20190916;Amsterdam;;;
142;;;;Onderzoek beperken interne belasting Ouderkerkerplas (waterbodem);Onderzoek;;SGBP3 2021-2027;2021-2027;;;MW;NL11_3_3;NL11_3_3;;;;Waterschap Amstel Gooi en Vecht;;0;0;0;0;0;0;ESF1;initiëren;Groengebied Amstelland;SGBP3;;;;12;0;1;0;ja;nee;;;;0;nvt;;;0;Ouderkerkerplas;2027;LM_20190916;Amsterdam;;;
457;;NL11;;Ganzen beheren, structureel door populatiebeperking;Ganzen beheren;;SGBP3 2021-2027;2021-2027;BE08;Een maatregel in alle WLen waar een sterke graasdruk op helofyten bestaat. Door ganzenbeheer krijgen met name rietoevers meer kans tot ontwikkeling te komen, wat belangrijk is voor de instandhouding van de populatie Grote Karekiet en andere moerasvogels (Natura2000-doel). De provincie neemt noodmaatregelen (afvangen van ruiende ganzen en plaatsen van rasters bij bedreigde rietkragen), vooruitlopend op een structurele aanpak. Bij de aanleg van natuurvriendelijke oevers is het belangrijk jonge aanplant te beschermen (bijvoorbeeld met gaas) tegen vraat.;MW;NL11_3_3;NL11_3_3;;;;Provincie Noord-Holland;;0;0;0;0;0;0;ESF6;;Groengebied Amstelland;;SGBP3;;;12;0;1;0;ja;nee;;;;1;1/0;;;0;Ouderkerkerplas;2027;GH_20191205;;;;
477;;;;Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud plus communicatie bewoners;Natuurvriendelijk onderhouden EMERS;;SGBP3 2021-2027;2021-2027;;Geldt voor alle waterlichamen. ;;NL11_3_3;NL11_3_3;;;;Waterschap Amstel Gooi en Vecht;;0;0;0;0;0;0;ESF4, ESF6;;Gemeente Ouder-Amstel, Provincie Noord-Holland;SGBP3;;;;12;0;1;0;ja;nee;;;;1;1/0;;;0;Ouderkerkerplas;2027;GH_20191205;;;;
144;71352;NL11;91115;Onderzoeken optimalisatie Vinkeveenboezem;Onderzoek;;SGBP1 2009-2015;2009-2015;IN02;Een onderzoek naar de mogelijkheden om de waterafvoer van een deel  van de tussenboezem via nieuw gemaal Mennonietenbuurt naar Amstel af te voeren.Onderzoek heeft geresulteerd in het aanleggen en vispasseerbaar maken van een nieuwe gemaal Pondskoekersluis;WB;NL11_3_4;NL11_3_4;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=2295000.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF1;uitgevoerd;Recreatie Midden-Nederland;;;;;296.9;19.4;50;0;ja;nee;geen: sgbp2;;;0;nvt;;;1;Vinkeveenseplassen;2016;LM_20190916;Amstel;;;
145;71353;NL11;91116;Defosfateren Vinkeveense plassen;P-belasting verlagen;;SGBP1 2009-2015;2009-2015;IM12;Het gaat om het toepassen van beheermaatregelen om de wateraanvoer naar de Vinkeveense plassen te defosfateren;WB;NL11_3_4;NL11_3_4;1;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=4483000.00;0;0;1;0;0;0;ESF1;uitgevoerd;geen;;;;1.338040042;296.9;19.4;50;0;ja;nee;vermindering P conc van 0.2 mg/l naar 0.15 mg/l;;;0.284510011;mg/m2/dag;;evaluatie maatregelen tussenboezem Vinkeveen, 2016;1;Vinkeveenseplassen;2016;LM_20190916;Amstel;;;
146;71354;NL11;91117;Onderzoeken maatregel natuurvriendelijke oevers Vinkeveense plassen;Onderzoek;;SGBP1 2009-2015;2009-2015;S01;Een onderzoek naar de mogelijkheden om natuurvriendelijke oevers in het plassengebied te realiseren;WB;NL11_3_4;NL11_3_4;1;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=12000.00;0;0;1;0;0;0;ESF4;uitgevoerd;geen;;;;1.338040042;296.9;19.4;50;0;ja;nee;;;;0;nvt;;;1;Vinkeveenseplassen;2016;LM_20190916;Amstel;;;
147;71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;Natuurvriendelijk onderhouden EMERS;;SGBP1 2009-2015;2009-2015;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_3_4;NL11_3_4;30;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;0;0;325;0;0;0;ESF4;uitgevoerd;geen;;;;;296.9;19.4;50;0;ja;nee;;;;0;1/0;;;1;Vinkeveenseplassen;2016;LM_20190916;Amstel;;;
148;76541;NL11;GEB-y;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 1;P-belasting verlagen;;SGBP2 2015-2021;2015-2021;BR01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts nkeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven;MW;NL11_3_4;NL11_3_4;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;ESF1;stimuleren;DAW, agrarische collectieven, studieclubs, bedrijven;;;;33.38;296.9;19.4;50;0;ja;nee;nog te weinig P reducerend pakketten in gebied;;;0;mg/m2/dag;;NMI, 2019;1;Vinkeveenseplassen;2021;LM_20190916;Amstel;;;
149;;;;Polder Demmerik effectiever afvoeren;P-belasting verlagen;;SGBP2 2015-2021;2015-2021;S06;Operationele instellingen gemaal Demmerik en de Ruijter aangepast: Deze maatregel zorgt ervoor dat het water uit polder Oukoop en Demmerik de zuidplas niet belast maar direct wordt afgevoerd (door gemaal de Ruijter) richting Angstel.;MW;NL11_3_4;NL11_3_4;1;n;?;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;ESF1;afhankelijk van participatie van omgeving;geen;operationeel beheer;;;1.338040042;296.9;19.4;50;0;ja;nee;alle belasting vanuit gemaal demmerik;;;0.2;mg/m2/dag;;evaluatie maatregelen tussenboezem Vinkeveen, 2016;0;Vinkeveenseplassen;2021;LM_20190916;Amstel;;;
150;76564;NL11;NL11_0157;Vispasseerbaar maken van sluizen, gemalen en stuwen - fase 2;Vis;;SGBP2 2015-2021;2015-2021;IN15;Gemaal de Ruiter is niet passseerbaar en niet veilig voor vis. Passage wordt meegenomen bij de renoatie van het gemaal. Hier wordt 2-zijdige passage gemaakt via sluis Demmerik en het gemaal zelf?;MW;NL11_3_4;NL11_3_4;4;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;ESF5;loopt;geen;;;;;296.9;19.4;50;0;ja;nee;;;;0;nvt;;;1;Vinkeveenseplassen;2021;LM_20190916;Amstel;;;
151;;;;Optimalisatie (waterstromen) Vinkeveenboezem;P-belasting verlagen;;SGBP2 2015-2021;2015-2021;BR01;Aanleg pondkoekersluis: realisatie in 2015. 2015-juli 2016 max capaciteit van 40 m3/min. Vanaf juli 2016 op volle (80m3/min) capaciteit.;WB;NL11_3_4;NL11_3_4;16;n;?;Waterschap Amstel Gooi en Vecht;opzoeken;0;0;0;0;0;0;ESF1;uitgevoerd;geen;operationeel beheer;;;1.338040042;296.9;19.4;50;0;ja;nee;0;;;0.284510011;mg/m2/dag;;evaluatie maatregelen tussenboezem Vinkeveen, 2016;0;Vinkeveenseplassen;nvt;LM_20190916;Amstel;;;
152;;;;Optimaliseren defosfateren Vinkeveense plassen;P-belasting verlagen;;SGBP2 2015-2021;2015-2021;S06;Ook defosfateren in de winter en evaluatie effectiviteit en rendement na 2 jaar.;WB;NL11_3_4;NL11_3_4;15;n;?;Waterschap Amstel Gooi en Vecht;opzoeken;0;0;0;0;0;0;ESF1;loopt;geen;operationeel beheer;;;1.338040042;296.9;19.4;50;0;ja;nee;verdere reductie jaarrond gem naar 0.09 mg/l;;;0.18967334;mg/m2/dag;;evaluatie maatregelen tussenboezem Vinkeveen, 2016;0;Vinkeveenseplassen;nvt;LM_20190916;Amstel;;;
153;;;;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 2;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;BR01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts nkeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven;MW;NL11_3_4;NL11_3_4;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;0;0;0;ESF1;stimuleren;DAW, agrarische collectieven, studieclubs, bedrijven;SGBP3;;;33.38;296.9;19.4;50;0;ja;nee;10% van inlaat uit gagelweg en veldhuiswetering en boezem;;;0.03;mg/m2/dag;;NMI, 2019;0;Vinkeveenseplassen;2027;LM_20190916;Amstel;;;
154;;;;Aanleg NVO stumuleren;Beschoeiing aanpassen;;SGBP3 2021-2027;2021-2027;;"Gemeente, Recreatieschap en eigenaren zijn niet verplicht om de oevers op een natuurvriendelijke manier aan te leggen. Wanneer het waterschap de meerkosten (tussen een harde en een nvo) betaalt dan kan het ook als een AGV maatregel worden opgenomen. Het gaat om de aanleg van NVO`s langs legakkers. De VVP zijn door de provincie Utrecht begrensd als natuur. De meeste legakkers in de VVP hebben een harde beschoeiing, waardoor de oevernatuur grotendeels ontbreekt. Oevers zijn belangrijk voor vissen (om in te paaien), voor amfibieën en de ringslang (als leefgebied), voor waterinsecten (zoals libellenlarven), voor watervogels en zoogdieren (zoals de Waterspitsmuis en de Noordse woelmuis). Wanneer oevers ontbreken, kunnen natuurdoelen in waterrijke gebieden (o.a. KRW-doelen) niet gehaald worden.
Door de vele legakkers in de VVP is er potentieel veel oevermilieu aanwezig. Een goede natuurvriendelijke oever bestaat uit oeverplanten (o.a. gele lis, kattenstaart, egelskop, mattenbies, riet, lisdodde) die in het open water staan. Hierdoor kunnen dieren die in het water leven gebruik maken van de natuur in de oever. ";;NL11_3_4;NL11_3_4;;;;Gemeente de Ronde Venen;geen;0;0;0;0;0;0;ESF4;niet effectief;Recreatie Midden-Nederland;?;SGBP3;;;296.9;19.4;50;0;ja;nee;;;;0;% van beschoeid;;;0;Vinkeveenseplassen;2027;LM_20190916;Amstel;;;
430;;;;Verwijderen boom-, struik- en groenopslag langs de oevers;Open landschap herstellen;nog splitsen in bomen en luwte. Dus maatregel luwte toevoegen.;SGBP3 2021-2027;2021-2027;BE06;Wanneer oevers goed onderhouden worden (geen tuinafval, geen bomen, voorkomen overmatige ganzenvraat) dan beschermen de oeverplanten legakkers en eilanden tegen afkalving en is vervanging van dure beschoeiingen niet nodig. Oevers die, door een lange strijklengte te lijden hebben van intensieve golfslag, zijn gebaat bij de aanleg van een golfbreker. Deze kan bestaan uit een balk of plank op de waterlijn, op enkele meters van de oever. Deze maatregel heeft ook invloed op ESF4, habitatgeschiktheid. Omvang: 75% bomen verwijderen, 25% past in parklandschap;;NL11_3_4;NL11_3_4;;;;Waterschap Amstel Gooi en Vecht;opzoeken;0;0;0;0;0;0;ESF2, ESF4;stimuleren;Gemeente de Ronde Venen, Recreatie Midden-Nederland;SGBP3;;;;296.9;19.4;50;0;ja;nee;;148.45;;75;% van bebost;;;0;Vinkeveenseplassen;2027;LM_20190916;Amstel;;;
431;;;;Stimuleren aanleg emerse vegetatie op verzonken legakkers;Luwtestructuur;maatregel verder beschrijven: alleen als luwtestructuur. Effect op doorzicht of op EMERS?;SGBP3 2021-2027;2021-2027;;In de VVP zijn veel legakkers onder water verdwenen. Een deel van deze verzonken legakkers kan, bv met grond van andere verzonken legakkers worden opgehoogd en ingeplant met oeverplanten. Tijdelijke bescherming tegen ganzenvraat en golfslag is voor een goede ontwikkeling noodzakelijk. Maaibeheer moet voorkomen dat er op termijn bomen gaan groeien, waardoor de oevervegetatie verdwijnt en de legakker weer afkalft. Ook hier zou het waterschap een stimuleringsregeling voor in het leven kunnen roepen.;;NL11_3_4;NL11_3_4;;;;Gemeente de Ronde Venen;;0;0;0;0;0;0;ESF4;;Recreatie Midden-Nederland;?;SGBP3;;;296.9;19.4;50;0;ja;nee;;;;1;1/0;;;0;Vinkeveenseplassen;2027;LM_20190916;Amstel;;;
432;;;;Gemeente, plassenschap en waterschap stellen een gezamenlijk plan voor ecologisch herstel en het voorkomen van ahteruitgang (door recreatie) op voor de plassen.;Achteruitgang vermijden;;SGBP3 2021-2027;2021-2027;;De provincie heeft de VVP begrensd als natuur. De gemeente is deel eigenaar en het recreatieschap is beheerder. Al deze partijen zijn met het waterschap verantwoordelijk voor het halen van de KRW-doelen. Overleg tussen deze partijen, zowel ambtelijk als bestuurlijk, is noodzakelijk om de natuurdoelen te halen. Verkoop van legakkers aan particulieren en toename van recreatie mogen niet leiden tot achteruitgang van de natuurwaarden. Als maatregel kan worden opgenomen om een gezamenlijk plan voor de plassen op te stellen, waarin de KRW-doelen verankerd zijn.;;NL11_3_4;NL11_3_4;;;;Gemeente de Ronde Venen;;0;0;0;0;0;0;ESF1, ESF4;;Waterschap Amstel, Gooi en Vecht, Recreatie Midden-Nederland;SGBP3;SGBP3;;;296.9;19.4;50;0;ja;nee;;;;;handmatig;;;0;Vinkeveenseplassen;2027;LM_20190916;Amstel;;;
458;;;;Ganzen beheren, structureel door populatiebeperking;Ganzen beheren;;SGBP3 2021-2027;2021-2027;BE08;Een maatregel in alle WLen waar een sterke graasdruk op helofyten bestaat. Door ganzenbeheer krijgen met name rietoevers meer kans tot ontwikkeling te komen, wat belangrijk is voor de instandhouding van de populatie Grote Karekiet en andere moerasvogels (Natura2000-doel). De provincie neemt noodmaatregelen (afvangen van ruiende ganzen en plaatsen van rasters bij bedreigde rietkragen), vooruitlopend op een structurele aanpak. Bij de aanleg van natuurvriendelijke oevers is het belangrijk jonge aanplant te beschermen (bijvoorbeeld met gaas) tegen vraat.;;NL11_3_4;NL11_3_4;;;;Provincie Utrecht;;0;0;0;0;0;0;ESF6;;Recreatie Midden-Nederland;;SGBP3;;;296.9;19.4;50;0;ja;nee;;;;1;1/0;;;0;;2027;GH_20191205;;;;
478;;;;Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud plus communicatie bewoners;Natuurvriendelijk onderhouden EMERS;;SGBP3 2021-2027;2021-2027;;Geldt voor alle waterlichamen. ;;NL11_3_4;NL11_3_4;;;;Waterschap Amstel Gooi en Vecht;;0;0;0;0;0;0;ESF4, ESF6;;Gemeente De Ronde Venen, Provincie Utrecht;SGBP3;;;;296.9;19.4;50;0;ja;nee;;;;1;1/0;;;0;;2027;GH_20191205;;;;
155;71363;NL11;91135;Aanleggen natuurvriendelijke oevers - fase 1;Areaal nieuw;;SGBP1 2009-2015;2009-2015;IN07;Het betreft de aanleg van natuurvriendelijke oeverlas langs sloten in het agrarisch gebied ten noordwesten van de Spiegelplas;WB;NL11_3_6;NL11_3_6;1.75;km;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=171000.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;1.75;0;0;ESF4;niet effectief;Provincie Noord-Holland;;;;;34.8;3.8;40;0;ja;nee;;;;0;km;;;1;Spiegelplas;nvt;LM_20190916;Vecht;;;
156;71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;Natuurvriendelijk onderhouden EMERS;;SGBP1 2009-2015;2009-2015;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_3_6;NL11_3_6;30;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;0;0;325;0;0;0;ESF4;uitgevoerd;geen;;;;;34.8;3.8;40;0;ja;nee;;;;0;1/0;;;1;Spiegelplas;2016;LM_20190916;Vecht;;;
157;76541;NL11;GEB-y;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 1;P-belasting verlagen;;SGBP2 2015-2021;2015-2021;BR01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts nkeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven;MW;NL11_3_6;NL11_3_6;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;ESF1;stimuleren;DAW, agrarische collectieven, studieclubs, bedrijven;;;;33.38;34.8;3.8;40;0;ja;nee;0;;;0;mg/m2/dag;;NMI, 2019;1;Spiegelplas;2021;LM_20190916;Vecht;;;
158;76531;NL11;91135;Aanleggen natuurvriendelijke oevers;Areaal nieuw;;SGBP2 2015-2021;2015-2021;IN07;;WB;NL11_3_6;NL11_3_6;1.75;km;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1.75;0;0;0;0;0;ESF4;niet effectief;Provincie Noord-Holland;;;;14.12754631;34.8;3.8;40;0;ja;nee;;;;0;km;;;1;Spiegelplas;2021;LM_20190916;Vecht;;;
159;76564;NL11;NL11_0157;Vispasseerbaar maken van sluizen, gemalen en stuwen - fase 2;Vis;;SGBP2 2015-2021;2015-2021;IN15;Het gaat om stuw de Googh tussen Stichts Ankeveen en de Spiegelplas met een de Wit-passage (2-zijdig) en om gemaal Spiegelplas. Bij het gemaal wordt geadviseerd om de pomp visveilig te maken of een viswering en bypass via sluis. Of er ook iets bij de schutsluis moet gebeuren is niet duidelijk.;MW;NL11_3_6;NL11_3_6;4;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;1;0;0;0;ESF5;loopt;geen;;;;;34.8;3.8;40;0;ja;nee;;;;0;nvt;0;;1;Spiegelplas;2021;LM_20190916;Vecht;;;
160;76577;NL11;x;Onderzoek vispasseerbaar maken sluizen, gemalen en stuwen ;Onderzoek;;SGBP2 2015-2021;2015-2021;S01;De maatregel houdt in dat AGV gaat onderzoeken wat de meest kosteneffectieve manier is om de vismigratiebarriere tussen de Vecht en de Spiegelplas op te heffen  (het gemaal visvriendelijk te maken en/of extra schutten bij de Zanderijsluis in periodes dat vis wil trekken er er weinig vaarverkeer is). De uitvoeringstermijn hangt af van een gebiedsbrede prioritering voor het oplossen van vismigratieknelpunten, die nog plaats moet vinden.;MW;NL11_3_6;NL11_3_6;3;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;2;0;0;0;ESF5;uitgevoerd;geen;;;;;34.8;3.8;40;0;ja;nee;;;;0;nvt;0;;1;Spiegelplas;2021;LM_20190916;Vecht;;;
161;;;;Onderzoek: verminderen fosforbelasting vanuit stedelijk gebied Nederhorst den Berg;Onderzoek;;SGBP2 2015-2021;2015-2021;S06;Er komt 5x zoveel fosfor uit het stedelijk gebied dan er wordt ingelaten: in dit onderzoek wordt uitgezocht welke bronnen dit veroorzaken. ;WB;NL11_3_6;NL11_3_6;1;n;?;Waterschap Amstel Gooi en Vecht;opzoeken;0;0;1;0;0;0;ESF1;in voorbereiding;Gemeente Wijde meren;operationeel beheer;;;;34.8;3.8;40;0;ja;nee;;;;0;nvt;;;0;Spiegelplas;nvt;LM_20190916;Vecht;;;
162;;;;Defosfateren inlaatwater;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;BR10;Deze wordt gedefosfateerd;;NL11_3_6;NL11_3_6;9;n;j;Waterschap Amstel Gooi en Vecht;opzoeken;0;0;0;0;0;0;ESF1;in voorbereiding;geen;SGBP3;;;0.743504002;34.8;3.8;40;0;ja;nee;zie factsheet;;;0.15;mg/m2/dag;;;0;Spiegelplas;2027;LM_20190916;Vecht;;;
163;;;;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 2;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;BR01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts nkeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven;MW;NL11_3_6;NL11_3_6;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;0;0;0;ESF1;stimuleren;DAW, agrarische collectieven, studieclubs, bedrijven;SGBP3;;;33.38;34.8;3.8;40;0;ja;nee;niet meer relevant: omdat al het water via de defos loopt;;;0;mg/m2/dag;0.2;NMI, 2019;0;Spiegelplas;2027;LM_20190916;Vecht;;;
