koppelnummer;DBID;Namespace;HoortbijKRWWaterlichaam2021;HoortbijKRWWaterlichaamNaam2021;LokaalID;Naam;SGBPPeriode.omschrijving;UitvoeringIn;Toelichting;KRWMaatregel.code;KRWMaatregelNiveau.code;KRWStroomgebiedDistrict.code;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.code;Initiatiefnemer.naam;Initiatiefnemer.waternet;EUFonds.code;Kosten;RelatieMetNatura2000Gebied;RelatieMetWaterwinning;KTM.Code;KTM.omschrijving;Kwaliteitselementen;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;Investeringskosten;beheerEnOnderhoudsKosten;interneKosten;Type maatregel voor doelen-model;Opmerkingen GtH;afweging;gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);Bestuur AGV;Bestuur andere overheid;Contactpersonen;esf;OmvangWaternet;eenheid;litteratuurverwijzing;wkp;Effect verwacht vanaf;HoortbijKRWWaterlichaam_oud;aangepast
131;;NL11;NL11_3_8;Grote Maarsseveense Plas;;Aanpassen van het beheer langs de oever zodat er geen overhangend groen is;SGBP3 2021-2027;2021-2027;Deze maatregel heeft ook invloed op ESF7, organische belasting. Er is niet veel van de oever bebost. Het parklandschap moet in stand worden gehouden.;IN18;WB;;;n;;;Geen overheid;Recreatie Midden-Nederland;;;;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Open landschap herstellen;;afweging financiele bijdrage: bestuurlijke keuze;Waterschap Amstel Gooi en Vecht;financiele dekking?;financiele dekking?;;ESF4, ESF7;10;% van bebost;;0;2027;NL11_3_8;LM_20190916
132;;NL11;NL11_3_8;Grote Maarsseveense Plas;;Flexibel peil als buffer;SGBP3 2021-2027;2021-2027;"Ooit beschreven als grondwatergestuurd peilbeheer (als de plas uitzakt, trekt deze meer grondwater aan). Door een flexibele compartimentering kunnen peilstijgingen in de Zodden en belasting van de Grote Maarsseveense Plas (GMP) en Zodden verder worden geminimaliseerd. De GMP doet dienst als buffer, met een flexibeler peil dan Zodden. Het GMP-peil wordt in de winter verhoogd tot NAP -1.10 m. Deze maatregel kan los beschouwd worden van flexpeil Zodden. Flexpeil Zodden is beter, maar flexpeil GMP alleen zal ook effect sorteren.  
De kwel op GMP zal door de hogere peilen afnemen. Aangezien metingen aangeven dat de P-concentraties in kwel toenemen i.c.m. toename van periodieke zuurstofloosheid op diepte (Droog 2019) is dit een  voordeel.
De beperkte dimensies en (geautomatiseerde) bediening van de terugslagklep zorgen er dan voor dat GMP dit wateroverschot gedoseerd en/of met een tijdvertraging zal leveren aan de Zodden. 
De Zodden krijgen bij piekbuien zo een veel geringere en kortere peilverhoging te verwerken. Om inlaat vanuit de Zodden te voorkomen in zeer droge zomers (zoals 2018) kan GMP verder uitzakken dan Zodden,  bv. naar NAP -1.50 m. Dit vermindert ook het aandeel KMP-water op de Zodden: om GMP-niveau aan te vullen moet veel water door de Zodden heen gevoerd worden. Echter: het waterpeil extra laten zakken kan alleen als de P in het kwelwater duurzaam vastgelegd kan worden: de P-concentraties in kwel zijn hoger dan in de Zodden. 
Tussen de GMP en de Plasgracht wordt een (geautomatiseerde) beweegbare stuw geplaatst (Al dan niet met een verdronken terugslagklep (water kan alleen GMP af, niet op) of een rinket, maar kan ook louter met automatisch beheer, alle opties hebben voor- en nadelen als het gaat of vispasseerbaarheid, dosering en storingsgevoeligheid). De (instelbare) dimensionering is zodanig dat de plas doorgaans het peil van de Zodden kan volgen maar piekbelastingen (niet of) langzaam kan afvoeren. Het water kan nl. bij peilverschillen beneden het stuwpeil de Grote Plas wel – gedoseerd - uit, maar niet in. ";IM12;WB;;;n;;;Waterschap;Waterschap Amstel Gooi en Vecht;;;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;;afweging kosten: bestuurlijke keuze;geen;SGBP3;;;ESF1;?;mg/m2/dag;;0;2027;NL11_3_8;LM_20190916
630;;NL11;NL11_3_8;Grote Maarsseveense Plas;;Kleinere maximumhoeveelheid toestaan voor het onttrekken en lozen van water aan of op oppervlaktewateren;SGBP3 2021-2027;2021-2027;Zonder vergunning of melding maximaal 500 m³ (500.000 liter) water per uur uit boezemwater halen. Dit zijn rivieren of kanalen die hoger liggen dan het land achter de dijk. Voor wateren zoals grachten en ander water in de stad geldt een maximum van 120 m³ per uur. Nabij (in hetzelfde peilvak) diepe plassen en kleine ondiepe plassen willen we ontrekkingen zoveel mogelijk voorkomen, door een altervnatieve locatie te zoeken in een ander peilvak. Kan het niet anders dan is een maximum van 20 m³ per uur (dit is nog steeds een vergelijkbare hoeveelheid als het inlaatdebiet van b.v. de Gaasperplas) toegestaan.;G04;MW;;;-;;;Waterschap;Waterschap Amstel Gooi en Vecht;;;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;Instrumentele maatregel;niet meegenomen in doelafleiding;aanpassen beleid KEUR: bestuurlijke keuze;Waterschap Amstel Gooi en Vecht;SGBP3;;;ESF1;0;mg/m2/dag;;0;2027;;LM_20200318
136;;NL11;NL11_3_8;Grote Maarsseveense Plas;;Stuw plaatsen tussen de Grote plas en de Maarsseveense zodden;SGBP3 2021-2027;2021-2027;Automatische stuw/ terugslagklep: water kan wel afvoeren vanaf de plas, maar niet aanvoeren. Vooral in een droge zomer (zoals 2018) komt er veel water in het epilimnion. Het peil kan waarschijnlijk wel uitzakken.;IM12;WB;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;ACTIE GE: Automatische stuw breedte 3 meter. Damwand me klepstuwen.;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;;afweging kosten: bestuurlijke keuze;geen;SGBP3;;;ESF1;0.01;mg/m2/dag;;0;2027;NL11_3_8;LM_20190916
137;;NL11;NL11_3_8;Grote Maarsseveense Plas;;Tegengaan van nalevering uit de waterbodem en diep kwelwater;SGBP3 2021-2027;2021-2027;De P-vrachten komt zowel via chemische processen in de waterbodem als via de actieve kwelflux. Eerst moet helder worden waar de zuurstofvraag is, waar en hoe dik het bodemmateriaal is. Dit zou door baggeren kunnen, het vastleggen van fosfor aan een sterker bindend medium dan ijzer (bijvoorbeeld polyaluminiumchloride), het bedekken van de bodem met zand, zuurstoftoediening, toediening van nanobubbles met zuurstof.;IM12;WB;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;ACTIE ??: Jasper Stroom vragen eerste schatting van PAC of zand?;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;;afweging kosten: bestuurlijke keuze;geen;SGBP3;;;ESF1;?;mg/m2/dag;;0;2027;NL11_3_8;LM_20190916
138;;NL11;NL11_3_8;Grote Maarsseveense Plas;;Uitbreiding van het submers begroeibaar areaal;SGBP3 2021-2027;2021-2027;Dit zou of juist op locaties kunnen waar nu bomen staan of juist in het westen waar je de plas. Er kan gedacht worden aan het verwijderen van beschoeiingen en ontgraven van de oevers om ondiepe zones te creëren, maar de ruimte aan de windluwe zijde is beperkt. Voor de KRW-scores zal de invloed beperkt zijn. De vestigingsdiepte en soortensamenstelling van de vegetatie zal niet veranderen, er zal enig effect op de visstand zijn.;IN07;WB;;;km;;;Onbekend;Provincie Utrecht;;;;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Beschoeiing aanpassen;;bestuurlijke keuze provincie;Recreatie Midden-Nederland;;?;geen overleg;ESF4;50;% van beschoeid;;0;2027;NL11_3_8;LM_20190916
133;;NL11;NL11_3_8;Grote Maarsseveense Plas;;Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud van watergangen;SGBP3 2021-2027;2021-2027;De KEUR zou gebiedsspecifiek moeten toelaten dat watergangen minder frequent of niet worden geschoond, om flora en fauna te sparen in poldersloten of om verlanding toe te laten in natuurgebieden. De invulling hiervan wordt uitgewerkt in het beheer en onderhoudsprogramma van AGV. Bij vervangen van beschoeiing moet vegetatie zoveel mogelijk worden gespaard.;S06;MA;;;n;;;Waterschap;Waterschap Amstel Gooi en Vecht;;geen investering maar operationele kosten;;;;;Macrofauna_Overige Waterflora_Vis;0;1;0;0;0;0;;;voor planadvies, jurist, verwerken KEUR;Instrumentele maatregel;;bestuurlijk vastgesteld;Gemeente Stichtse Vecht, Provincie Utrecht;Beheer en onderhoudsprogramma;;;ESF4, ESF6;1;1/0;;0;2027;NL11_3_8;GH_20191205
134;;NL11;NL11_3_8;Grote Maarsseveense Plas;;Monitoring van de kwaliteit van het kwelwater: deze is variabel en wordt beïnvloed door humane activiteit;SGBP3 2021-2027;2021-2027;Afdekken/ voorkomen wegzijging en grondwaterinflux zou een optie kunnen zijn bij het scenario dat de belasting vanuit het grondwater toeneemt. Dit zou consequenties hebben voor de drinkwaterontrekking Groenekan (meer ontrekken zou goed uit kunnen pakken).;S01;WB;;;n;;;Waterschap;Waterschap Amstel Gooi en Vecht;;;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;Onderzoek;;afweging kosten: bestuurlijke keuze;geen;SGBP3;;;ESF1;0;nvt;;0;2027;NL11_3_8;LM_20190916
135;;NL11;NL11_3_8;Grote Maarsseveense Plas;;Onderzoek naar het beperken van de interne belasting Grote Maarsseveenseplas (waterbodem);SGBP3 2021-2027;2021-2027;Hier profiteren Ouderkerkerplas en andere diepe plassen ook van: ;IM12;WB;;;n;;;Waterschap;Waterschap Amstel Gooi en Vecht;;;;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;Onderzoek;;afweging kosten: bestuurlijke keuze;geen;SGBP3;;;ESF1;0;nvt;;0;2027;NL11_3_8;LM_20190916
46;71389;NL11;NL11_6_6;Het Hol;NL11_0182;Uitvoeren herstel- en inrichtingsmaatregelen Kortenhoefse plassen, fase 1 - effect 2;SGBP1 2009-2015;2009-2015;Het gaat om het baggeren van ongeveer 22 hectare waterbodems in de gebieden het Hol en Suikerpot.;BE04;WB;;66000;m3;j;;Geen overheid;Natuurmonumenten;;Investering per planperiode=3432000.00|Beheer en Onderhoud per planperiode=0.00;NL_VOG_95;;KTM4;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;66000;0;0;;;;Baggeren;;gefaseerd;Waterschap Amstel Gooi en Vecht;;;;ESF3;0;% van overig ongeschikt;;1;nvt;NL11_6_4;LM_20190916
105;76552;NL11;NL11_6_6;Het Hol;KH-yyy;Herstel/ kwaliteitsverbetering Galigaanmoeras Het Hol;SGBP2 2015-2021;2015-2021;LIFE+ maatregel C7;IN20;WB;;1;n;j;;Geen overheid;Natuurmonumenten;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;NL_HAB_95|NL_VOG_95;;NL_KTM6A;;Macrofauna_Overige Waterflora_Vis;0;0;1;0;0;0;;;;Oeverstructuur verbeteren;;uitgevoerd;;;;;ESF4, ESF6;;% van overig ongeschikt;;1;2021;NL11_6_4;LM_20190916
114;76553;NL11;NL11_6_6;Het Hol;KH-yyyy;Plaggen en herstel sloten t.b.v. jonge verlandingen Het Hol;SGBP2 2015-2021;2015-2021;LIFE+ maatregel C8;IN20;WB;;1;n;j;;Geen overheid;Natuurmonumenten;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;NL_HAB_95|NL_VOG_95;;NL_KTM6A;;Macrofauna_Overige Waterflora_Vis;0;0;1;0;0;0;;;;Oeverstructuur verbeteren;;uitgevoerd;;;;;ESF4, ESF6;;% van overig ongeschikt;;1;2021;NL11_6_4;LM_20190916
368;76565;NL11;NL11_6_6;Het Hol;NL11_0182;Uitvoeren herstel- en inrichtingsmaatregelen Kortenhoefse plassen, fase 1 - effect 2;SGBP2 2015-2021;2015-2021;Het gaat om het baggeren van ongeveer 22 hectare waterbodems in de gebieden het Hol en Suikerpot. Dit is alleen zinvol als de bagger buiten het gebied kan worden gebracht. Een depot in het gebied is onwenselijk. ;BE04;WB;;66000;m3;j;;Geen overheid;Natuurmonumenten;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;NL_VOG_95;;KTM4;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;66000;0;0;;;;Baggeren;;gefaseerd;Provincie Noord-Holland, Waterschap Amstel, Gooi en Vecht;;;;ESF3;0;% van overig ongeschikt;;1;2021;NL11_6_4;LM_20190916
461;76549;NL11;NL11_6_6;Het Hol;KH-xxx;Herstel invloed kwelwater 't Hol en Suikerpot;SGBP2 2015-2021;2015-2021;WiBo geeft nu advies. Dit advies wordt hier opgenomen.;IN02;WB;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;NL_HAB_95|NL_VOG_95;;KTM7;;Macrofauna_Overige Waterflora;0;0;0;1;0;0;;;;Kwel herstellen;;gefaseerd;Natuurmonumenten;;;;ESF4, ESF1;;ha;;1;2020;NL11_6_4;LM_20190916
642;;NL11;NL11_6_6;Het Hol;;Kleinere maximumhoeveelheid toestaan voor het onttrekken en lozen van water aan of op oppervlaktewateren;SGBP3 2021-2027;2021-2027;Zonder vergunning of melding maximaal 500 m³ (500.000 liter) water per uur uit boezemwater halen. Dit zijn rivieren of kanalen die hoger liggen dan het land achter de dijk. Voor wateren zoals grachten en ander water in de stad geldt een maximum van 120 m³ per uur. Nabij (in hetzelfde peilvak) diepe plassen en kleine ondiepe plassen willen we ontrekkingen zoveel mogelijk voorkomen, door een altervnatieve locatie te zoeken in een ander peilvak. Kan het niet anders dan is een maximum van 20 m³ per uur (dit is nog steeds een vergelijkbare hoeveelheid als het inlaatdebiet van b.v. de Gaasperplas) toegestaan.;G04;MW;;;-;;;Waterschap;Waterschap Amstel Gooi en Vecht;;;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;Instrumentele maatregel;niet meegenomen in doelafleiding;aanpassen beleid KEUR: bestuurlijke keuze;Waterschap Amstel Gooi en Vecht;SGBP3;;;ESF1;0;mg/m2/dag;;0;2027;;LM_20200318
148;;NL11;NL11_6_6;Het Hol;;Baggeren en/of bezanden in EAG 1 (het Hol);SGBP3 2021-2027;2021-2027;Baggeren is vooral bedoeld voor het op diepte brengen van sloten in t Hol. In de plassen van het Hol is het af te raden. Bovendien is de waterbodem in EAG 1 voedselrijk (totaal P). Dit kan pas als andere maatregelen zijn uitgevoerd en de toestand volgt. Dit is alleen zinvol als de bagger buiten het gebied kan worden gebracht. Een depot in het gebied is onwenselijk.;BE04;WB;;25000;m3;j;;Geen overheid;Natuurmonumenten;;;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;Baggeren;;afweging financiele bijdrage: bestuurlijke keuze;Waterschap Amstel Gooi en Vecht;financiele dekking?;financiele dekking?;;ESF3;?;% van overig ongeschikt;;0;2027;NL11_6_4;LM_20190916
155;;NL11;NL11_6_6;Het Hol;;Ganzen structureel beheren door populatiebeperking;SGBP3 2021-2027;2021-2027;Een maatregel in alle WLen waar een sterke graasdruk op helofyten bestaat. Door ganzenbeheer krijgen met name rietoevers meer kans tot ontwikkeling te komen, wat belangrijk is voor de instandhouding van de populatie Grote Karekiet en andere moerasvogels (Natura2000-doel). De provincie neemt noodmaatregelen (afvangen van ruiende ganzen en plaatsen van rasters bij bedreigde rietkragen), vooruitlopend op een structurele aanpak. Bij de aanleg van natuurvriendelijke oevers is het belangrijk jonge aanplant te beschermen (bijvoorbeeld met gaas) tegen vraat.;BE08;MW;;;n;;;Provincie;Provincie Noord-Holland;;;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Ganzen beheren;;bestuurlijke keuze provincie;Natuurmonumenten;;SGBP3;;ESF6;?;1/0;;0;2027;NL11_6_4;GH_20191210
156;;NL11;NL11_6_6;Het Hol;;Herstellen buffering in wortelzone van percelen van het Hol;SGBP3 2021-2027;2021-2027;Voor de terrestrische doelen is de wens om meer gebufferd water in de percelen te krijgen. Dit volgt uit het advies inrichtingsplan 't Hol voor fase 2: In het Hol is het kappen van bomen de grootste klapper. En andere maatregelen om verdere veenafbraak te voorkomen (innuderen, peilopzet, greppels). Renske adviseert het peil omhoog te zetten: dit is een risiovolle maatregel die mogelijk leidt tot meer uitspoeling en afstroming. Het is niet duidelijk of het inrichtingsplan van de provincie hier voldoende uitsluitsel over geeft en daarom is er extra onderzoek nodig naar de risico's van peilopzet (voedselrijkdom in de percelen, grondwaterstanden). ;RO07;WB;;;n;;;Provincie;Provincie Noord-Holland;;;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora;0;0;0;0;0;0;;;;Kwel herstellen;;bestuurlijke keuze provincie;Natuurmonumenten, Waterschap Amstel Gooi en Vecht;;Inrichtingsplan 't Hol;Winnie Rip;ESF4, ESF1;?;ha;;0;2027;NL11_6_4;LM_20190916
157;;NL11;NL11_6_6;Het Hol;;Intensivering van rietbeheer langs de oevers van alle plassen Natuurmonumenten;SGBP3 2021-2027;2021-2027;Het gaat hier zowel om een eenmalige investering (aanbrengen bescherming tegen graas, verwijderen en afvoeren van bomen, infrastructurele aanpassingen zoals het aanleggen van een loswal en aanschaf boten) als om een uitbreiding van de stucturele financiering (SNL geld) voor een intensivering van het beheer en onderhoud, zodat hout beter verwijderd kan worden en takken kunnen worden afgevoerd. Natuurmonumenten werkt uit waar het van belang is rietoevers te herstellen en verbeteren, waar kansrijke locaties liggen (daar waar de graasdruk niet te groot is en legakkers stevig genoeg zijn), waar infrastructurele maatregelen nodig zijn en schat de kosten van investeringen en structureel geintensiveerd rietbeheer. Uiteindelijke omvang 95%;IN18;MW;;;n;;;Geen overheid;Natuurmonumenten;;;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Open landschap herstellen;;afweging financiele bijdrage: bestuurlijke keuze;Provincie Noord-Holland;financiele dekking?;financiele dekking?;;ESF4;?;% van bebost;;0;2027;NL11_6_4;LM_20191017
159;;NL11;NL11_6_6;Het Hol;;Verminderen van drinkwaterwinning op de Heuvelrug;SGBP3 2021-2027;2021-2027;Verhogen van de infiltratie op de heuvelrug leidt tot meer kwel. Provincie Noord-Holland en Vitens hebben een onderzoek uitgevoerd naar de mogelijkheden en noodzaak van reductie drinkwaterwinning Nieuw Loosdrecht (referentie rapport opzoeken). G.S. hebben besloten om de vergunning aan te passen op de actuele drinkwaterproduktie. In de praktijk is er geen verdere reductie afgesproken. Gezien de stikstofproblematiek is heroverweging van deze beslissing is wenselijk. Zie verder onderzoek reductie kwel Loosdrecht. ;RO07;MW;;;n;;;Onbekend;Geen;;;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;5% inlaat ;afweging verlies functie: bestuurlijke keuze provincie;Waterschap Amstel Gooi en Vecht;?;Opnieuw inbrengen in provinciale plannen?;Winnie Rip;ESF1;0.001;mg/m2/dag;;0;2027;NL11_6_4;LM_20191017
194;;NL11;NL11_6_6;Het Hol;;Verminderen verharding en drainage door riolering op de Heuvelrug;SGBP3 2021-2027;2021-2027;Verhogen van de infiltratie op de heuvelrug leidt tot meer kwel. Gemeente Hilversum en GNR  stimuleren om maatregelen te nemen gericht op toename infiltratie hemelwater op heuvelrug. ;IM12;MW;;;n;;;Onbekend;Gemeente Hilversum;;;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;1% inlaat ;planvorming;Waterschap Amstel Gooi en Vecht;?;N2000-beheerplan;Winnie Rip;ESF1;0.0035;mg/m2/dag;;0;2027;NL11_6_4;LM_20191017
158;;NL11;NL11_6_6;Het Hol;;Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud van watergangen;SGBP3 2021-2027;2021-2027;De KEUR zou gebiedsspecifiek moeten toelaten dat watergangen minder frequent of niet worden geschoond, om flora en fauna te sparen in poldersloten of om verlanding toe te laten in natuurgebieden. De invulling hiervan wordt uitgewerkt in het beheer en onderhoudsprogramma van AGV. Bij vervangen van beschoeiing moet vegetatie zoveel mogelijk worden gespaard.;S06;MA;;;n;;;Waterschap;Waterschap Amstel Gooi en Vecht;;geen investering maar operationele kosten;;;;;Macrofauna_Overige Waterflora_Vis;0;1;0;0;0;0;;;voor planadvies, jurist, verwerken KEUR;Instrumentele maatregel;;bestuurlijk vastgesteld;Gemeente Hilversum, Stichtse Vecht en Wijdemeren, Provincie Noord-Holland en Utrecht;Beheer en onderhoudsprogramma;;;ESF4, ESF6;1;1/0;;0;2027;NL11_6_4;GH_20191205
123;76548;NL11;NL11_6_8;Hilversums Kanaal;KH-xx;Beperken fosfaatbelasting Hilversums Kanaal;SGBP2 2015-2021;2015-2021;Deze maatregel wordt uitgevoerd in waterlichaam Kortenhoefse Plassen, maar heeft ook effect voor waterlichaam Wijde Blik.  ;IM12;MW;;1;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;NL_HAB_95|NL_VOG_95;;NL_KTM2A;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;1;0;0;;;;P-belasting verlagen;;gefaseerd;geen;;;;ESF1;0;mg/m2/dag;;1;2020;NL11_6_4;LM_20190916
195;;NL11;NL11_6_8;Hilversums Kanaal;;Aanleggen van rietoevers in het zuidelijk deel petgaten EAG5;SGBP3 2021-2027;2021-2027;Dit is ook voor het bevorderen vogeldoelstellingen N2000.;IN18;WB;;;n;;;Provincie;Provincie Noord-Holland;;;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Oeverstructuur verbeteren;;bestuurlijke keuze provincie;Natuurmonumenten;;PAS maatregel?;?;ESF4;?;% van overig ongeschikt;;0;2027;NL11_6_4;LM_20191017
196;;NL11;NL11_6_8;Hilversums Kanaal;;Beperken van de externe fosfaatbelasting vanuit Kerkelanden in het Hilversums kanaal;SGBP3 2021-2027;2021-2027;Deze maatregel wordt uitgevoerd in waterlichaam Kortenhoefse Plassen, maar heeft ook effect voor waterlichaam Wijde Blik: dit is de defos van Kerkelanden en Haven Hilversum (waarschijnlijk beide bronnen gelijktijdig in het kanaal gezuiverd). SGBP2 start het meetplan om te bepalen hoe deze maatregel kan worden uitgevoerd. Uitvoering zal pas in SGBP3 zijn.;IM12;MW;;9;n;j;;Waterschap;Waterschap Amstel Gooi en Vecht;;1000000;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;0;0;0;;;;P-belasting verlagen;;afweging kosten: bestuurlijke keuze;geen;KRW uitvoeringsplan Kortenhoef?;;;ESF1;0.2143;mg/m2/dag;;0;2027;NL11_6_4;LM_20190916
197;;NL11;NL11_6_8;Hilversums Kanaal;;Ganzen structureel beheren door populatiebeperking;SGBP3 2021-2027;2021-2027;Een maatregel in alle WLen waar een sterke graasdruk op helofyten bestaat. Door ganzenbeheer krijgen met name rietoevers meer kans tot ontwikkeling te komen, wat belangrijk is voor de instandhouding van de populatie Grote Karekiet en andere moerasvogels (Natura2000-doel). De provincie neemt noodmaatregelen (afvangen van ruiende ganzen en plaatsen van rasters bij bedreigde rietkragen), vooruitlopend op een structurele aanpak. Bij de aanleg van natuurvriendelijke oevers is het belangrijk jonge aanplant te beschermen (bijvoorbeeld met gaas) tegen vraat.;BE08;MW;;;n;;;Provincie;Provincie Noord-Holland;;;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Ganzen beheren;;opnemen N2000 beheerplan: bestuurlijke keuze;Natuurmonumenten;;N2000-beheerplan;;ESF6;?;1/0;;0;2027;NL11_6_4;GH_20191210
198;;NL11;NL11_6_8;Hilversums Kanaal;0;Het optimaal benutten van kwelwater door afplaggen, verlanding in sloten, het graven van petgaten en doorvoeren van kwelwater in EAG4 en EAG5 kan een bijdrage leveren aan de buffering van het systeem EAG3 en EAG5 omdat het water uit EAG4 richting EAG3 stroomt.;SGBP3 2021-2027;2021-2027;Hier is al financiele dekking voor. Ook opnemen voor KRW waterlichaam of is dit vooral voor EAG4?;RO07;MW;;;n;;;Provincie;Provincie Noord-Holland;;;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora;0;0;0;0;0;0;;;;Kwel herstellen;;planvorming;Natuurmonumenten, Waterschap Amstel Gooi en Vecht;;N2000-beheerplan;Winnie Rip;ESF4;?;ha;;0;2027;NL11_6_4;LM_20191017
199;;NL11;NL11_6_8;Hilversums Kanaal;;Intensivering van rietbeheer langs de oevers van alle plassen Natuurmonumenten;SGBP3 2021-2027;2021-2027;Het gaat hier zowel om een eenmalige investering (aanbrengen bescherming tegen graas, verwijderen en afvoeren van bomen, infrastructurele aanpassingen zoals het aanleggen van een loswal en aanschaf boten) als om een uitbreiding van de stucturele financiering (SNL geld) voor een intensivering van het beheer en onderhoud, zodat hout beter verwijderd kan worden en takken kunnen worden afgevoerd. Natuurmonumenten werkt uit waar het van belang is rietoevers te herstellen en verbeteren, waar kansrijke locaties liggen (daar waar de graasdruk niet te groot is en legakkers stevig genoeg zijn), waar infrastructurele maatregelen nodig zijn en schat de kosten van investeringen en structureel geintensiveerd rietbeheer.;IN18;WB;;1;n;j;;Geen overheid;Natuurmonumenten;;ACTIE GE: kosten per ha vanaf het water, inclusief verweideren stammen. Klepelen en afzuigen jaarlijks tijdens de eerste 5 jaar. ACTIE Laura rekent strook 10m langsoevers* oeverlengte = hectare;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Open landschap herstellen;;afweging financiele bijdrage: bestuurlijke keuze;Waterschap Amstel Gooi en Vecht;financiele dekking?;SGBP3;;ESF1, ESF2;;;;0;2027;NL11_6_4;LM_20190916
201;;NL11;NL11_6_8;Hilversums Kanaal;;Natuurvriendelijke oevers en moerasterrein langs de N201?;SGBP3 2021-2027;2021-2027;Wordt bij de aanleg rekening gehouden met bescherming tegen ganzenvraat?;IN07;WB;;;km;;;Provincie;Provincie Noord-Holland;;;NL_HAB_95|NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Beschoeiing aanpassen;;bestuurlijke keuze provincie;Natuurmonumenten;;PAS maatregel?;;ESF4;?;% van beschoeid;;0;2027;NL11_6_4;LM_20191017
