DBID;Namespace;LokaalID;Naam;Type maatregel voor doelen-model;Opmerkingen GtH;SGBPPeriode.omschrijving;UitvoeringIn;afweging;KRWMaatregel.code;Toelichting;KRWMaatregelNiveau.code;HoortbijKRWWaterlichaam2021;HoortbijKRWWaterlichaamNaam2021;HoortbijKRWWaterlichaam;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.naam;gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);Bestuur AGV;Bestuur andere overheid;Kosten;interneKosten;beheerEnOnderhoudsKosten;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;esf;omvang tov balansen 2018, ecologische toestand t/m 2017;eenheid;EKR;litteratuurverwijzing;wkp;Effect verwacht vanaf;aangepast;gebiedsteam;Kwaliteitselementen;
;;;Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud plus communicatie bewoners;Natuurvriendelijk onderhouden EMERS en SUBMERS;;SGBP3 2021-2027;2021-2027;;;Geldt voor alle waterlichamen. ;MA;NL11_2_9;Noorderlegmeer;NL11_2_6;;;;Waterschap Amstel Gooi en Vecht;;SGBP3;;geen investering maar operationele kosten;voor planadvies, jurist, verwerken KEUR;;0;0;0;0;0;0;ESF6;1;1/0;;;0;2027;GH_20191205;;Macrofauna_Overige Waterflora_Vis;SGBP3 2021-2027Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud plus communicatie bewonersNL11_2_9
;;;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 2;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;;BR01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts nkeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven;MW;NL11_2_8;Bovenkerkerpolder;NL11_2_6;1;n;j;Waterschap Amstel Gooi en Vecht;DAW, agrarische collectieven, studieclubs, bedrijven;SGBP3;;ACTIE ??: jaarlijkse kosten agrarisch waterbeheer;;;0;0;0;0;0;0;ESF1;0.619535454;mg/m2/dag;;NMI, 2019;0;2027;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP3 2021-2027Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 2NL11_2_8
;;;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 2;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;;BR01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts nkeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven;MW;NL11_2_9;Noorderlegmeer;NL11_2_6;1;n;j;Waterschap Amstel Gooi en Vecht;DAW, agrarische collectieven, studieclubs, bedrijven;SGBP3;;ACTIE ??: jaarlijkse kosten agrarisch waterbeheer;;;0;0;0;0;0;0;ESF1;0.619535454;mg/m2/dag;;NMI, 2019;0;2027;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP3 2021-2027Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 2NL11_2_9
;;;Natuurvriendelijk onderhoud lijnvormige secondaire watergangen ;Natuurvriendelijk onderhouden EMERS en SUBMERS;;SGBP3 2021-2027;2021-2027;;;Een maatregel in alle EAG's waar dat relevant is;MW;NL11_2_8;Bovenkerkerpolder;NL11_2_6;;;;DAW;Waterschap Amstel Gooi en Vecht;;;;;;0;0;0;0;0;0;ESF6;1;1/0;;;0;2027;GH_20191205;;Macrofauna_Overige Waterflora_Vis;SGBP3 2021-2027Natuurvriendelijk onderhoud lijnvormige secondaire watergangen NL11_2_8
;;;Natuurvriendelijk onderhoud lijnvormige secondaire watergangen ;Natuurvriendelijk onderhouden EMERS en SUBMERS;;SGBP3 2021-2027;2021-2027;;;Een maatregel in alle EAG's waar dat relevant is;MW;NL11_2_9;Noorderlegmeer;NL11_2_6;;;;DAW;Waterschap Amstel Gooi en Vecht;;;;;;0;0;0;0;0;0;ESF6;1;1/0;;;0;2027;GH_20191205;;Macrofauna_Overige Waterflora_Vis;SGBP3 2021-2027Natuurvriendelijk onderhoud lijnvormige secondaire watergangen NL11_2_9
;;;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 2;Natuurvriendelijk onderhouden EMERS en SUBMERS;;SGBP3 2021-2027;2021-2027;;;Een maatregel in alle waterlichamen waar dat nog relevant is;MW;NL11_2_8;Bovenkerkerpolder;NL11_2_6;;;;Waterschap Amstel Gooi en Vecht;;SGBP3;;geen investering maar operationele kosten;;;0;0;0;0;0;0;ESF6;1;1/0;;;0;2027;GH_20191205;;Macrofauna_Overige Waterflora_Vis;SGBP3 2021-2027Toepassen ecologisch onderhoud oevers hoofdwateren - fase 2NL11_2_8
;;;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 2;Natuurvriendelijk onderhouden EMERS en SUBMERS;;SGBP3 2021-2027;2021-2027;;;Een maatregel in alle waterlichamen waar dat nog relevant is;MW;NL11_2_9;Noorderlegmeer;NL11_2_6;;;;Waterschap Amstel Gooi en Vecht;;SGBP3;;geen investering maar operationele kosten;;;0;0;0;0;0;0;ESF6;1;1/0;;;0;2027;GH_20191205;;Macrofauna_Overige Waterflora_Vis;SGBP3 2021-2027Toepassen ecologisch onderhoud oevers hoofdwateren - fase 2NL11_2_9
;;;Verdiepen watergangen tot 35 cm in de Bovenkerkerpolder.;Op diepte brengen;;SGBP3 2021-2027;2021-2027;;IN12;Alleen bovenwettelijk is DAW, dus er is ook een aanpassing in de keur en handhaving nodig in het bovenstroomse gebied (want de hoofwatergang = KRW = meestal voldoende diep).;WB;NL11_2_8;Bovenkerkerpolder;NL11_2_6;7;n;j;Waterschap Amstel Gooi en Vecht;geen;SGBP3;;ACTIE Laura maakt schatting van m3 obv waterdiepte vergeleken met 35cm en oppervlak. Prijs m3 baggeren met spuit.;;;0;0;0;0;0;0;ESF4;1;1/0;;;0;2027;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis_Fytoplankton;SGBP3 2021-2027Verdiepen watergangen tot 35 cm in de Bovenkerkerpolder.NL11_2_8
71377;NL11;NL11_0141;Onderzoeken effecten moerasvariant Groot-Mijdrecht;Onderzoek;;SGBP1 2009-2015;2009-2015;uitgevoerd;S01;;WB;NL11_2_7;Vaarten Groot Mijdrecht;NL11_2_7;1;n;j;Waterschap Amstel Gooi en Vecht;Natuurmonumenten;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;0;0;1;0;0;0;ESF1;0;nvt;;;1;2016;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP1 2009-2015Onderzoeken effecten moerasvariant Groot-MijdrechtNL11_2_7
71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;Natuurvriendelijk onderhouden EMERS en SUBMERS;;SGBP1 2009-2015;2009-2015;uitgevoerd;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_2_7;Vaarten Groot Mijdrecht;NL11_2_7;30;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;;;0;0;325;0;0;0;ESF4;0;1/0;;;1;2016;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis;SGBP1 2009-2015Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1NL11_2_7
76508;NL11;90912;Aanleg natuurvriendelijke oevers Marickenland;Areaal nieuw;;SGBP2 2015-2021;2015-2021;?;IN07;Zijn dit moerasblokken geworden of NVO`s?;WB;NL11_2_7;Vaarten Groot Mijdrecht;NL11_2_7;1;km;j;Waterschap Amstel Gooi en Vecht;?;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;1;0;0;0;0;0;ESF4;1;km;;;1;2021;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis;SGBP2 2015-2021Aanleg natuurvriendelijke oevers MarickenlandNL11_2_7
76541;NL11;GEB-y;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 1;P-belasting verlagen;;SGBP2 2015-2021;2015-2021;in uitvoering;BR01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts nkeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven;MW;NL11_2_7;Vaarten Groot Mijdrecht;NL11_2_7;1;n;j;Waterschap Amstel Gooi en Vecht;DAW, agrarische collectieven, studieclubs, bedrijven;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;0;1;0;0;0;0;ESF1;0;mg/m2/dag;;NMI, 2019;1;2021;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP2 2015-2021Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 1NL11_2_7
;;;Beperking kwel door toepassing granietslijpsel;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;opzoeken;IM12;Autonoom geen bezwaar, maar nog te weinig onderbouwing om dit direct in te zetten.;WB;NL11_2_7;Vaarten Groot Mijdrecht;NL11_2_7;1;n;j;Waterschap Amstel Gooi en Vecht;geen;SGBP3;;ACTIE GE: is prijs voor nieuw gemaal;;;0;0;0;0;0;0;ESF1;0.42;mg/m2/dag;;NMI, 2019;0;2027;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP3 2021-2027Beperking kwel door toepassing granietslijpselNL11_2_7
;;;Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud plus communicatie bewoners;Natuurvriendelijk onderhouden EMERS en SUBMERS;;SGBP3 2021-2027;2021-2027;;;Geldt voor alle waterlichamen. ;MA;NL11_2_7;Vaarten Groot Mijdrecht;NL11_2_7;;;;Waterschap Amstel Gooi en Vecht;Gemeente De Ronde Venen, Provincie Utrecht;SGBP3;;geen investering maar operationele kosten;voor planadvies, jurist, verwerken KEUR;;0;0;0;0;0;0;ESF6;1;1/0;;;0;2027;GH_20191205;;Macrofauna_Overige Waterflora_Vis;SGBP3 2021-2027Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud plus communicatie bewonersNL11_2_7
;;;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 2;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;stimuleren;BR01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts nkeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven;MW;NL11_2_7;Vaarten Groot Mijdrecht;NL11_2_7;1;n;j;Waterschap Amstel Gooi en Vecht;DAW, agrarische collectieven, studieclubs, bedrijven;SGBP3;;ACTIE ??: jaarlijkse kosten agrarisch waterbeheer;;;0;0;0;0;0;0;ESF1;3.332;mg/m2/dag;;NMI, 2019;0;2027;LM_20190916;Amstel;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP3 2021-2027Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 2NL11_2_7
;;;Natuurvriendelijk onderhoud lijnvormige secondaire watergangen ;Natuurvriendelijk onderhouden EMERS en SUBMERS;;SGBP3 2021-2027;2021-2027;;;Een maatregel in alle EAG's waar dat relevant is;MW;NL11_2_7;Vaarten Groot Mijdrecht;NL11_2_7;;;;DAW;Waterschap Amstel Gooi en Vecht;;;;;;0;0;0;0;0;0;ESF6;1;1/0;;;0;2027;GH_20191205;;Macrofauna_Overige Waterflora_Vis;SGBP3 2021-2027Natuurvriendelijk onderhoud lijnvormige secondaire watergangen NL11_2_7
;;;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 2;Natuurvriendelijk onderhouden EMERS en SUBMERS;;SGBP3 2021-2027;2021-2027;;;Een maatregel in alle waterlichamen waar dat nog relevant is;MW;NL11_2_7;Vaarten Groot Mijdrecht;NL11_2_7;;;;Waterschap Amstel Gooi en Vecht;Natuurmonumenten;SGBP3;;geen investering maar operationele kosten;;;0;0;0;0;0;0;ESF6;1;1/0;;;0;2027;GH_20191205;;Macrofauna_Overige Waterflora_Vis;SGBP3 2021-2027Toepassen ecologisch onderhoud oevers hoofdwateren - fase 2NL11_2_7
71321;NL11;91024;Beperken belasting Gaasperplas;P-belasting verlagen;;SGBP1 2009-2015;2009-2015;uitgevoerd;IN02;Het gaat om het uitvoeren van twee maatregelen:- Het aanleggen van een bypass voor afvoer van stedelijk water naar het gemaal,- Het verminderen van de afstroom van gebiedsvreemd water naar de plas door de aanleg van een dijk met vrijkomende grond vanuit de aanleg van de bypass.;WB;NL11_3_2;Gaasperplas;NL11_3_2;2;n;j;Waterschap Amstel Gooi en Vecht;Rijkswaterstaat;;;Investering per planperiode=182000.00|Beheer en Onderhoud per planperiode=0.00;;;0;0;2;0;0;0;ESF1;2.7;mg/m2/dag;;;1;2016;LM_20190916;Amsterdam;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP1 2009-2015Beperken belasting GaasperplasNL11_3_2
71320;NL11;91023;Ecologisch onderhouden oevers Gaasperplas;Open landschap herstellen;;SGBP1 2009-2015;2009-2015;uitgevoerd;BE06;Het natuurvriendelijk onderhouden van de oevers van de plas door het verwijderen van boom- en groenopslag op de oevers.;WB;NL11_3_2;Gaasperplas;NL11_3_2;4;km;j;Groengebied Amstelland;Waterschap Amstel Gooi en Vecht;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;0;0;4;0;0;0;ESF4;0;% van bebost;;;1;2016;LM_20190916;Amsterdam;Macrofauna_Overige Waterflora_Vis;SGBP1 2009-2015Ecologisch onderhouden oevers GaasperplasNL11_3_2
71322;NL11;91026;Onderzoeken KRW-inrichtingsopgave in combinatie met woningbouw;Onderzoek;;SGBP1 2009-2015;2009-2015;uitgevoerd;S01;Het uitvoeren van een onderzoek naar de mogelijkheden om de inrichtingsopgave van 6,3 hectare natuurvriendelijke oevers in combinatie met woningbouwopgave;WB;NL11_3_2;Gaasperplas;NL11_3_2;1;n;n;Waterschap Amstel Gooi en Vecht;geen;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;0;0;1;0;0;0;ESF4;0;nvt;;;1;2016;LM_20190916;Amsterdam;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP1 2009-2015Onderzoeken KRW-inrichtingsopgave in combinatie met woningbouwNL11_3_2
71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;Natuurvriendelijk onderhouden EMERS;;SGBP1 2009-2015;2009-2015;uitgevoerd;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_3_2;Gaasperplas;NL11_3_2;30;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;;;0;0;325;0;0;0;ESF4;0;1/0;;;1;2016;LM_20190916;Amsterdam;Macrofauna_Overige Waterflora_Vis;SGBP1 2009-2015Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1NL11_3_2
76543;NL11;G-x;Plan structuurversterking Gaasperplas ism gebiedsontwikkeling;Areaal nieuw;;SGBP2 2015-2021;2015-2021;planvorming;S04;De gemeente Amsterdam heeft in samenwerking met AGV een plan opgesteld voor structuurversterking van de Gaasperplas. Dit houdt onder ander in dat: er ondiepe zones worden aangelegd. Deze worden verbonden met de plas mits er geen bomen langs de waterlijn staan, geen vaarbeweging mogelijk is en dat daar waar er ondiepe zones gegraven moet de voedselrijkdom van de toekomstige bodem worden bepaald. Omvang onbekend, maar vast niet groot.;WB;NL11_3_2;Gaasperplas;NL11_3_2;1;n;j;Waterschap Amstel Gooi en Vecht;Gemeente Amsterdam;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;1;0;0;0;0;0;ESF4;1;km;;;1;2021;LM_20190916;Amsterdam;Macrofauna_Overige Waterflora_Vis;SGBP2 2015-2021Plan structuurversterking Gaasperplas ism gebiedsontwikkelingNL11_3_2
76577;NL11;x;Onderzoek vispasseerbaar maken sluizen, gemalen en stuwen ;Onderzoek;;SGBP2 2015-2021;2015-2021;in uitvoering;S01;Gemaal Gaasperplas is niet visvriendelijk en niet vispasseerbaar. Het aanbod van vis is wel heel laag. Een viswering in de Gaaspersingel zou een overweging kunnen zijn. Voor aal is de vraag of er verbinding nodig moet zijn.;MW;NL11_3_2;Gaasperplas;NL11_3_2;3;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;;;0;1;2;0;0;0;ESF5;0;nvt;;;1;2021;LM_20190916;Amsterdam;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP2 2015-2021Onderzoek vispasseerbaar maken sluizen, gemalen en stuwen NL11_3_2
;;;Afkoppelen Gaasperpark/ woonwijk Nellestein;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;in onderzoek;IM12;Zorgen dat er geen voedingsstoffen uit dit gebied komt: korte reactietijd bij storingen rioolgemaal en opsporen foutaansluitingen.;WB;NL11_3_2;Gaasperplas;NL11_3_2;1;n;j;Waterschap Amstel Gooi en Vecht;Gemeente Amsterdam, Groengebied Amstelland;SGBP3;;ACTIE GE: 100 meter watergang graven en op 5 locaties een vaste dam plaatsen;planvorming moet een nieuwe NBW toets/ risicos voor afvoer in stedelijk gebied?;;0;0;0;0;0;0;ESF1;0.395;mg/m2/dag;;;0;2027;LM_20190916;Amsterdam;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP3 2021-2027Afkoppelen Gaasperpark/ woonwijk NellesteinNL11_3_2
;;;Verplaatsen inlaat polder Zuid Bijlmer;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;;;Al het water dat in de zomer wordt ingelaten stroomt nu door het park en de plas. De wens is om de inlaat te verplaatsen naar het zuidwesten van de polder zodat het inlaatwater niet door de plas hoeft te stromen en er alleen water wordt ingelaten om de plas op peil te houden.;WB;NL11_3_2;Gaasperplas;NL11_3_2;;;;Waterschap Amstel Gooi en Vecht;Gemeente Amsterdam, Groengebied Amstelland;SGBP3;;ACTIE MAARTEN en LAURA: uitzoeken over welk trace het gaat zodat GE kan uitzoeken welk grondverzet en kunstwerken nodig zijn.;;;0;0;0;0;0;0;ESF1;?;mg/m2/dag;;;0;2027;LM_20190916;Amsterdam;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP3 2021-2027Verplaatsen inlaat polder Zuid BijlmerNL11_3_2
;;;Verwijderen boom-, struik- en groenopslag langs de oevers GP.;Open landschap herstellen;;SGBP3 2021-2027;2021-2027;stimuleren;BE06;We moeten meer kansen grijpen om gezamelijk met gemeente en groengebied het onderhoud te verbeteren. Dit moet worden opgehangen aan de structuurschets. Deze maatregel heeft ook invloed op ESF4, habitatgeschiktheid. Omvang:75% verwijderen, rest past in parklandschap;WB;NL11_3_2;Gaasperplas;NL11_3_2;;;;Gemeente Amsterdam;Waterschap Amstel Gooi en Vecht;financiele dekking?;financiele dekking?;ACTIE GE: kosten per ha vanaf het water, inclusief verweideren stammen. Klepelen en afzuigen jaarlijks tijdens de eerste 5 jaar. ACTIE Laura rekent strook 10m langsoevers* oeverlengte = hectare;;;0;0;0;0;0;0;ESF2, ESF4;30;% van bebost;;;0;2027;LM_20190916;Amsterdam;Macrofauna_Overige Waterflora_Vis;SGBP3 2021-2027Verwijderen boom-, struik- en groenopslag langs de oevers GP.NL11_3_2
;;;Natuurlijk verloop oevers ipv harde beschoeiing op overgang land-water;Beschoeiing aanpassen;;SGBP3 2021-2027;2021-2027;stimuleren;;Let op Japanse duizendknoop, die zich gemakkelijk via grondverzet kan verspreiden. Omvang nog onbekend. ;WB;NL11_3_2;Gaasperplas;NL11_3_2;;;;Gemeente Amsterdam;Waterschap Amstel Gooi en Vecht;SGBP3;SGBP3;;;;0;0;0;0;0;0;ESF4;10;% van beschoeid;;;0;2027;LM_20190916;Amsterdam;Macrofauna_Overige Waterflora_Vis;SGBP3 2021-2027Natuurlijk verloop oevers ipv harde beschoeiing op overgang land-waterNL11_3_2
;;;Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud plus communicatie bewoners;Natuurvriendelijk onderhouden EMERS;;SGBP3 2021-2027;2021-2027;;;Geldt voor alle waterlichamen. ;MA;NL11_3_2;Gaasperplas;NL11_3_2;;;;Waterschap Amstel Gooi en Vecht;Gemeente Amsterdam, Provincie Noord-Holland;SGBP3;;geen investering maar operationele kosten;voor planadvies, jurist, verwerken KEUR;;0;0;0;0;0;0;ESF4, ESF6;1;1/0;;;0;2027;GH_20191205;;Macrofauna_Overige Waterflora_Vis;SGBP3 2021-2027Leidende principes vastleggen in beleid van het waterschap (KEUR) en omgevingsvisies (gemeenten, provincies) om natuurwaarden te behouden bij vervangen van beschoeiing en onderhoud plus communicatie bewonersNL11_3_2
;;;Visvriendelijk maken gemaal;Vis;;SGBP3 2021-2027;2021-2027;onderzoeken;;Het gemaal blijkt zeer visonvriendelijk te zijn. Het aanbod van vis is wel heel laag. Een viswering in de Gaaspersingel zou een overweging kunnen zijn. Voor aal is de vraag of er verbinding nodig moet zijn.;WB;NL11_3_2;Gaasperplas;NL11_3_2;;;j;Waterschap Amstel Gooi en Vecht;Groengebied Amstelland;SGBP3;;Actie GE: stroboscoop, Tim Pelsma vragen onderzoek arcadis;;;0;0;0;0;0;0;ESF5;0;nvt;;;0;2027;LM_20190916;Amsterdam;#N/B;SGBP3 2021-2027Visvriendelijk maken gemaalNL11_3_2
71326;NL11;91049;Onderzoeken mogelijkheden flexibel peil in Grote Maarsseveense plas;P-belasting verlagen;;SGBP1 2009-2015;2009-2015;uitgevoerd;S01;Het onderzoeken van de gevolgen van het in de Grote Maarsseveense plas laten fluctueren van het waterpeil op het omliggende oppervlakte- en grondwatersysteem;MW;NL11_3_8;Grote Maarsseveense Plas;NL11_3_8;1;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Investering per planperiode=10000.00|Beheer en Onderhoud per planperiode=0.00;;;0;0;1;0;0;0;ESF1;;mg/m2/dag;;;1;2016;LM_20190916;Vecht;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP1 2009-2015Onderzoeken mogelijkheden flexibel peil in Grote Maarsseveense plasNL11_3_8
71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;Natuurvriendelijk onderhouden EMERS;;SGBP1 2009-2015;2009-2015;uitgevoerd;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_3_8;Grote Maarsseveense Plas;NL11_3_8;30;n;j;Waterschap Amstel Gooi en Vecht;geen;;;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;;;0;0;325;0;0;0;ESF4;0;1/0;;;1;2016;LM_20190916;Vecht;Macrofauna_Overige Waterflora_Vis;SGBP1 2009-2015Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1NL11_3_8
;;;Flexibel peil als buffer;P-belasting verlagen;;SGBP3 2021-2027;2021-2027;;;"Ooit beschreven als grondwatergestuurd peilbeheer (als de plas uitzakt, trekt deze meer gronwater aan). Door een flexibele compartimentering kunnen peilstijgingen in de Zodden en belasting van GMP en Zodden verder worden geminimaliseerd. De GMP als buffer, met een flexibeler peil dan Zodden. Het GMP-peil wordt in de winter verhoogd tot NAP -1.10 m. Deze maatregel kan los beschouwd worden van flexpeil Zodden. Flexpeil Zodden is beter, maar flexpeil GMP alleen zal ook effect sorteren.  
De kwel op GMP zal door de hogere peilen afnemen. Aangezien metingen aangeven dat de P-concentraties in kwel toenemen i.c.m. toename periodieke zuurstofloosheid op diepte (Droog 2019) is dit een  voordeel.
De beperkte dimensies en (geautomatiseerde) bediening van de terugslagklep zorgen er dan voor dat GMP dit wateroverschot gedoseerd en/of met een tijdvertraging zal leveren aan de Zodden. 
De Zodden krijgen bij piekbuien zo een veel geringere en kortere peilverhoging te verwerken. Om inlaat vanuit de Zodden te voorkomen in zeer droge zomers (zoals 2018) kan GMP verder uitzakken dan Zodden,  bv. naar NAP -1.50 m. Dit vermindert ook het aandeel KMP-water op de Zodden: om GMP-niveau aan te vullen moet veel water door de Zodden heen gevoerd worden. Echter: het waterpeil extra laten zakken kan alleen als de P in het kwelwater duurzaam vastgelegd kan worden: de P-concentraties in kwel zijn hoger dan in de Zodden. 
Tussen de GMP en de Plasgracht wordt een (geautomatiseerde) beweegbare stuw geplaatst (Al dan niet met een verdronken terugslagklep (water kan alleen GMP af, niet op) of een rinket, maar kan ook louter met automatisch beheer, alle opties hebben voor- en nadelen als het gaat of vispasseerbaarheid, dosering en storingsgevoeligheid). De (instelbare) dimensionering is zodanig dat de plas doorgaans het peil van de Zodden kan volgen maar piekbelastingen (niet of) langzaam kan afvoeren. Het water kan nl. bij peilverschillen beneden het stuwpeil de Grote Plas wel – gedoseerd - uit, maar niet in. ";WB;NL11_3_8;Grote Maarsseveense Plas;NL11_3_8;;;;Waterschap Amstel Gooi en Vecht;geen;SGBP3;;;;;0;0;0;0;0;0;ESF1;?;mg/m2/dag;;;0;2027;LM_20190916;Vecht;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;SGBP3 2021-2027Flexibel peil als bufferNL11_3_8
