koppelnummer;DBID;Namespace;HoortbijKRWWaterlichaam2021;HoortbijKRWWaterlichaamNaam2021;LokaalID;Naam;type;Type 2;SGBPPeriode.omschrijving;UitvoeringIn;Toelichting;ToelichtingUitgebreid;KRWMaatregel.code;KRWMaatregelNiveau.code;KRWStroomgebiedDistrict.code;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.code;Initiatiefnemer.naam;Partij;Initiatiefnemer.waternet;EUFonds.code;Kosten;financieringsbron;RelatieMetNatura2000Gebied;RelatieMetWaterwinning;KTM.Code;KTM.omschrijving;Kwaliteitselementen;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;Investeringskosten;beheerEnOnderhoudsKosten;interneKosten;Type maatregel voor doelen-model;Opmerkingen (deels GtH);gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);kostencategorie;afweging;Bestuur AGV;Bestuur andere overheid;Contactpersonen;esf;Totale belasting P;betreffend areaal (km of ha);OmvangWaternet;eenheid;litteratuurverwijzing;wkp;Effect verwacht vanaf;HoortbijKRWWaterlichaam_oud;aangepast;xxxxx;punten bij invoeren Wkp;oplossing
369;;NL11;NL11_2_9;Noorderlegmeer;29_595;Toepassen van ecologisch onderhoud en baggeren van hoofdwateren ;Natuurvriendelijk onderhouden en op diepte brengen;Natuurvriendelijk onderhouden en op diepte brengen;SGBP3 2021-2027;2021-2027;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;BE03;MW;;0.3;km;;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;exploitatie Waterlopen;;;KTMNL02 (was NL_KTM6A);;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Natuurvriendelijk onderhouden AGV;;?;geen;bestuurlijk vastgesteld;;;;ESF6;;91.1;0.3;km watergang;;1;2027;NL11_2_6;GH_20191205;;;
401;;NL11;NL11_2_10;Polder Demmerik;29_595;Toepassen van ecologisch onderhoud en baggeren van hoofdwateren ;Natuurvriendelijk onderhouden en op diepte brengen;Natuurvriendelijk onderhouden en op diepte brengen;SGBP3 2021-2027;2021-2027;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;BE03;MW;;1.3;km;;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;exploitatie Waterlopen;;;KTMNL02 (was NL_KTM6A);;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Natuurvriendelijk onderhouden AGV;;Recreatie Midden-Nederland;geen;bestuurlijk vastgesteld;;;;ESF6;;189.8;1.3;km watergang;;1;2027;NL11_2_3;GH_20191205;;;
127;71380;NL11;NL11_2_9;Noorderlegmeer;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;Natuurvriendelijk onderhouden en op diepte brengen;;SGBP1 2009-2015;2009-2015;Een gebiedsbrede maatregel in alle waterlichamen;Een gebiedsbrede maatregel in alle waterlichamen;BE03;MW;;30;km;j;;Waterschap;uitgevoerd;Waterschap Amstel, Gooi en Vecht;;0;0;;;;;Macrofauna_Overige Waterflora_Vis;0;0;325;0;0;0;;;;Natuurvriendelijk onderhouden EMERS en SUBMERS;;;;uitgevoerd;;;;ESF4;;;0;km watergang;;1;2016;NL11_2_6;LM_20190916;;;
657;;NL11;NL11_6_1;Ster en Zodden;29_595;Toepassen van ecologisch onderhoud en baggeren van hoofdwateren ;Natuurvriendelijk onderhouden en op diepte brengen;Natuurvriendelijk onderhouden en op diepte brengen;SGBP3 2021-2027;2021-2027;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;BE03;MW;;0.1;km;j;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;exploitatie Waterlopen;NL_HAB_95|NL_VOG_95;;KTMNL02 (was NL_KTM6A);;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Natuurvriendelijk onderhouden AGV;;;geen;in uitvoering;;;;ESF6;;168.8;0.1;km watergang;NMI, 2019;1;2027;NL11_6_1;LM_20190916;;;
512;;NL11;NL11_8_1;Tussenboezem Vinkeveen a;29_595;Toepassen van ecologisch onderhoud en baggeren van hoofdwateren ;Natuurvriendelijk onderhouden en op diepte brengen;Natuurvriendelijk onderhouden en op diepte brengen;SGBP3 2021-2027;2021-2027;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;BE03;MW;;0.6;km;;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;exploitatie Waterlopen;;;KTMNL02 (was NL_KTM6A);;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Natuurvriendelijk onderhouden AGV;;Staatsbosbeheer;geen;bestuurlijk vastgesteld;;;;ESF4, ESF6;;50.1;0.6;km watergang;;1;2027;NL11_8_1;GH_20191205;;;
519;;NL11;NL11_2_1;Vaarten Amsterdam;29_595;Toepassen van ecologisch onderhoud en baggeren van hoofdwateren ;Natuurvriendelijk onderhouden en op diepte brengen;Natuurvriendelijk onderhouden en op diepte brengen;SGBP3 2021-2027;2021-2027;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Hoewel er voldoende emerse vegetatie aanwezig is op de schaarse plekken waar dit mogelijk is, kan deze maatregel de ecologie lokaal verder versterken en achteruitgang voorkomen.  Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken.;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. NIET RELEVANT, OP DE SCHAARSE PLEKKEN WAAR DAT MOGELIJK IS, STAAT VOLDOENDE VEGETATIE. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;BE03;MW;;0;km;;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;exploitatie Waterlopen;;;KTMNL02 (was NL_KTM6A);;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Natuurvriendelijk onderhouden AGV;omvang staat op 0.0, want geen areaal dat geschikt is;geen;geen;bestuurlijk vastgesteld;;;;ESF6;;71.8;0;km watergang;;1;2027;NL11_2_1;GH_20191205;;;
532;;NL11;NL11_2_7;Vaarten Groot Mijdrecht;29_595;Toepassen van ecologisch onderhoud en baggeren van hoofdwateren ;Natuurvriendelijk onderhouden en op diepte brengen;Natuurvriendelijk onderhouden en op diepte brengen;SGBP3 2021-2027;2021-2027;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;BE03;MW;;1.1;km;;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;exploitatie Waterlopen;;;KTMNL02 (was NL_KTM6A);;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Natuurvriendelijk onderhouden AGV;;Natuurmonumenten;geen;bestuurlijk vastgesteld;;;;ESF6;;331.5;1.1;km watergang;;1;2027;NL11_2_7;GH_20191205;;;
538;;NL11;NL11_2_5;Vaarten Ronde Hoep;29_595;Toepassen van ecologisch onderhoud en baggeren van hoofdwateren ;Natuurvriendelijk onderhouden en op diepte brengen;Natuurvriendelijk onderhouden en op diepte brengen;SGBP3 2021-2027;2021-2027;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;BE03;MW;;1.3;km;;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;exploitatie Waterlopen;;;KTMNL02 (was NL_KTM6A);;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Natuurvriendelijk onderhouden AGV;;?;geen;bestuurlijk vastgesteld;;;;ESF6;;224.1;1.3;km watergang;;1;2027;NL11_2_5;GH_20191205;;;
547;;NL11;NL11_2_2;Vaarten Vechtstreek;29_595;Toepassen van ecologisch onderhoud en baggeren van hoofdwateren ;Natuurvriendelijk onderhouden en op diepte brengen;Natuurvriendelijk onderhouden en op diepte brengen;SGBP3 2021-2027;2021-2027;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;BE03;MW;;24.2;km;;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;exploitatie Waterlopen;;;KTMNL02 (was NL_KTM6A);;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Natuurvriendelijk onderhouden AGV;;geen;geen;bestuurlijk vastgesteld;;;;ESF6;;84.5;24.2;km watergang;;1;2027;NL11_2_2;GH_20191205;;;
553;;NL11;NL11_2_4;Vaarten Zevenhoven;29_595;Toepassen van ecologisch onderhoud en baggeren van hoofdwateren ;Natuurvriendelijk onderhouden en op diepte brengen;Natuurvriendelijk onderhouden en op diepte brengen;SGBP3 2021-2027;2021-2027;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;BE03;MW;;0.9;km;;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;exploitatie Waterlopen;;;KTMNL02 (was NL_KTM6A);;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Natuurvriendelijk onderhouden AGV;;geen;geen;bestuurlijk vastgesteld;;;;ESF6;;166.4;0.9;km watergang;;1;2027;NL11_2_4;GH_20191205;;;
595;;NL11;NL11_2_12;Westveen;29_595;Toepassen van ecologisch onderhoud en baggeren van hoofdwateren ;Natuurvriendelijk onderhouden en op diepte brengen;Natuurvriendelijk onderhouden en op diepte brengen;SGBP3 2021-2027;2021-2027;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;Natuurvriendelijk onderhouden is meestal gericht op niet méér verwijderen dan noodzakelijk is. Dus het beheer aanpassen als er te weinig vegetatie is zodat flora en fauna zich kunnen herstellen. Bij alle hoofdwatergangen van ons gebied is beoordeeld welke uitvoeringsmethode we kunnen en willen uitvoeren. In veel watergangen kan 25% van de vegetatie blijven staan. Vanwege ruimtegebrek is het niet mogelijk om overal 25% te sparen. Deze maatregel is opgenomen voor alle waterlichamen waar dit relevant is. Bij het baggeren zal, waar mogelijk, de oevervegetatie worden gespaard en bij de uitvoering zal worden gekozen voor meer natuurvriendelijke technieken;BE03;MW;;0.3;km;;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;exploitatie Waterlopen;NL_HAB_103|NL_VOG_103;;KTMNL02 (was NL_KTM6A);;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;;Natuurvriendelijk onderhouden AGV;;?;geen;bestuurlijk vastgesteld;;;;ESF6;;33.5;0.3;km watergang;;1;2027;;GH_20191205;;;
276;71343;NL11;NL11_6_9;Oostelijke Binnenpolder;91087;Beperken inlaat/aanvoer gebiedsvreemd water naar Oostelijke Binnenpolder;Waterstromen aanpassen;;SGBP1 2009-2015;2009-2015;Het gaat om het uitvoeren van een set waterbeheermaatregelen om de inlaat/aanvoer van gebiedsvreemd water naar de polder zoveel mogelijk te beperken. Parellel voert provincie inrichtingsmaatregelen uit, zoals oevers verflauwen, fosfaatrijke voormalig agrarische grond te plaggen etc. Gericht op herstel van Natura2000 doelen.;Het gaat om het uitvoeren van een set waterbeheermaatregelen om de inlaat/aanvoer van gebiedsvreemd water naar de polder zoveel mogelijk te beperken. Parellel voert provincie inrichtingsmaatregelen uit, zoals oevers verflauwen, fosfaatrijke voormalig agrarische grond te plaggen etc. Gericht op herstel van Natura2000 doelen.;IN02;WB;;1;n;j;;Waterschap;AGV;Waterschap Amstel, Gooi en Vecht;;0;0;NL_VOG_95;;KTM7;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;0;1;0;0;;;;P-belasting verlagen;;natuurmonumenten;;gefaseerd;;;;ESF1;2.130450791;;0;mg/m2/dag;;1;nvt;NL11_6_5;LM_20190916;;;
378;71383;NL11;NL11_6_9;Oostelijke Binnenpolder;NL11_0154;Onderzoeken maatregelen Oostelijke Binnenpolder en Molenpolder, Westbroek - fase 2;Onderzoek;;SGBP1 2009-2015;2009-2015;Het gaat om het in samenhang uitvoeren van drie deelonderzoeken:1 Onderzoeken effecten van peildynamiek in combinatie met beheermaatregelen op de verdeling neerslagwater/kwel in de bodem2 Onderzoeken effecten van de aanleg van een bufferzone en de mogelijkheden om het beheer vorm te geven via groenblauwe diensten3 Onderzoeken effecten van het stimuleren van verlandingsprocessen in Oostelijke Binnenpolder;Het gaat om het in samenhang uitvoeren van drie deelonderzoeken:1 Onderzoeken effecten van peildynamiek in combinatie met beheermaatregelen op de verdeling neerslagwater/kwel in de bodem2 Onderzoeken effecten van de aanleg van een bufferzone en de mogelijkheden om het beheer vorm te geven via groenblauwe diensten3 Onderzoeken effecten van het stimuleren van verlandingsprocessen in Oostelijke Binnenpolder;S01;WB;;3;n;j;;Waterschap;uitgevoerd;Waterschap Amstel, Gooi en Vecht;;0;0;NL_VOG_95;;;;Macrofauna_Overige Waterflora_Vis_Fytoplankton_Fysische chemie - nutriënten_Fysische chemie - overig;0;0;3;0;0;0;;;;Onderzoek;;Staatsbosbeheer, Natuurmonumenten;;uitgevoerd;;;;ESF4;;;1;n;;1;2016;NL11_6_5;LM_20190916;;;
496;;NL11;NL11_2_8;Bovenkerkerpolder;299_323_399_496_602;Maatregelen in de landbouw om oeverafkalving tegen te gaan;Oever aanpassen;Oever aanpassen;SGBP3 2021-2027;2021-2027;"Aan deze maatregel wordt uitvoering gegeven via Agrarisch waterbeheer. Bijvoorbeeld door bufferzones en slootranden met diepwortelende vegetatie; er is overlap met pakketten ten behoeve van nutriëntenreductie. Deze maatregel heeft ook invloed op productiviteit bodem (ESF3) en habitatgeschiktheid (ESF4). ";"Bijvoorbeeld bufferzones en slootranden met diepwortelende vegetatie, dus er zit overlap met DAW pakketten ten behoeve van nutriëntenreductie. Deze maatregel heeft ook invloed op ESF3, productiviteit bodem en ESF4, habitatgeschiktheid.
Geschatte omvang van de maatregel is 25%, van de 20% van de totale oeverlengte waar dit een probleem vormt.";IN18;MW;;1;n;j;;Waterschap;Boeren;Waterschap Amstel, Gooi en Vecht;;0;BA Agrarisch waterbeheer;;;KTM6 ;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;Vooral hier worden veel kosten gemaakt voor monitoring en onderzoek. O.a. trainee;Oeverstructuur verbeteren;;DAW, agrarische collectieven;type 2;bestuurlijk vastgesteld;Programma agrarisch waterbeheer;;;ESF1, ESF4;;384.9;19.2;km oever;;1;2027;NL11_2_6;LM_20190916;;;
323;;NL11;NL11_2_11;Groot Wilnis-Vinkeveen Zuid;299_323_399_496_602;Maatregelen in de landbouw om oeverafkalving tegen te gaan;Oever aanpassen;Oever aanpassen;SGBP3 2021-2027;2021-2027;"Aan deze maatregel wordt uitvoering gegeven via Agrarisch waterbeheer. Bijvoorbeeld door bufferzones en slootranden met diepwortelende vegetatie; er is overlap met pakketten ten behoeve van nutriëntenreductie. Deze maatregel heeft ook invloed op productiviteit bodem (ESF3) en habitatgeschiktheid (ESF4). ";"Bijvoorbeeld bufferzones en slootranden met diepwortelende vegetatie, dus er zit overlap met DAW pakketten ten behoeve van nutriëntenreductie. Deze maatregel heeft ook invloed op ESF3, productiviteit bodem en ESF4, habitatgeschiktheid.
Geschatte omvang van de maatregel is 25%, van de 20% van de totale oeverlengte waar dit een probleem vormt.";IN18;MW;;1;n;j;;Waterschap;Boeren;Waterschap Amstel, Gooi en Vecht;;0;BA Agrarisch waterbeheer;;;KTM6 ;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;Vooral hier worden veel kosten gemaakt voor monitoring en onderzoek. O.a. trainee;Oeverstructuur verbeteren;;DAW, agrarische collectieven;type 2;bestuurlijk vastgesteld;Programma agrarisch waterbeheer;;;ESF1, ESF4;;560.5;28;km oever;;1;2027;NL11_2_3;LM_20190916;;;
602;;NL11;NL11_8_3;Mijdrechtse Bovenlanden;299_323_399_496_602;Maatregelen in de landbouw om oeverafkalving tegen te gaan;Oever aanpassen;Oever aanpassen;SGBP3 2021-2027;2021-2027;"Aan deze maatregel wordt uitvoering gegeven via Agrarisch waterbeheer. Bijvoorbeeld door bufferzones en slootranden met diepwortelende vegetatie; er is overlap met pakketten ten behoeve van nutriëntenreductie. Deze maatregel heeft ook invloed op productiviteit bodem (ESF3) en habitatgeschiktheid (ESF4). ";"Bijvoorbeeld bufferzones en slootranden met diepwortelende vegetatie, dus er zit overlap met DAW pakketten ten behoeve van nutriëntenreductie. Deze maatregel heeft ook invloed op ESF3, productiviteit bodem en ESF4, habitatgeschiktheid.
Geschatte omvang van de maatregel is 25%, van de 20% van de totale oeverlengte waar dit een probleem vormt.";IN18;MW;;1;n;j;;Waterschap;Boeren;Waterschap Amstel, Gooi en Vecht;;0;BA Agrarisch waterbeheer;;;KTM6 ;;Macrofauna_Overige Waterflora_Vis;0;0;0;0;0;0;;;Vooral hier worden veel kosten gemaakt voor monitoring en onderzoek. O.a. trainee;Oeverstructuur verbeteren;;DAW, agrarische collectieven;type 2;vastgesteld in Gebiedsakkoord;Programma agrarisch waterbeheer;;;ESF1, ESF4;;123.1;6.2;km oever;;1;2027;NL11_8_2;LM_20190916;;;
